time_TKL524,depth_m_TKL524,temp_C_TKL524,time_TKL884,depth_m_TKL884,temp_C_TKL884,time_SRBP1,depth_m_SRBP1,temp_C_SRBP1,sc_uscm_SRBP1,,,,,,,,,
6/2/2024 10:00,0.95,9.397,6/1/2024 14:00,1.52,9.219,6/1/2024 19:00,0.73,6.553,106.962,,,,,,,,,
6/2/2024 11:00,0.95,9.423,6/1/2024 14:00,1.60,6.548,6/1/2024 20:00,0.75,6.695,96.104,,,,,,,,,
6/2/2024 11:00,0.95,9.459,6/1/2024 14:00,1.61,6.126,6/1/2024 21:00,0.75,6.633,92.342,,,,,,,,,
6/2/2024 11:00,0.95,9.469,6/1/2024 15:00,1.62,5.931,6/1/2024 22:00,0.76,6.381,83.597,,,,,,,,,
6/2/2024 11:00,0.95,9.497,6/1/2024 15:00,1.62,5.873,6/1/2024 23:00,0.81,5.122,89.245,,,,,,,,,
6/2/2024 12:00,0.95,9.574,6/1/2024 15:00,1.61,5.909,6/2/2024 0:00,0.85,3.986,91.464,,,,,,,,,
6/2/2024 12:00,0.94,9.66,6/1/2024 15:00,1.61,5.936,6/2/2024 1:00,0.87,3.143,92.794,,,,,,,,,
6/2/2024 12:00,0.94,9.718,6/1/2024 16:00,1.61,6.009,6/2/2024 2:00,0.88,2.772,93.61,,,,,,,,,
6/2/2024 12:00,0.94,9.778,6/1/2024 16:00,1.60,6.193,6/2/2024 3:00,0.89,2.476,90.592,,,,,,,,,
6/2/2024 13:00,0.93,9.916,6/1/2024 16:00,1.60,6.313,6/2/2024 4:00,0.91,1.859,96.602,,,,,,,,,
6/2/2024 13:00,0.93,9.959,6/1/2024 16:00,1.60,6.32,6/2/2024 5:00,0.91,1.603,99.458,,,,,,,,,
6/2/2024 13:00,0.92,10.06,6/1/2024 17:00,1.60,6.339,6/2/2024 6:00,0.92,1.258,98.833,,,,,,,,,
6/2/2024 13:00,0.92,10.113,6/1/2024 17:00,1.59,6.495,6/2/2024 7:00,0.93,0.949,105.847,,,,,,,,,
6/2/2024 14:00,0.92,10.196,6/1/2024 17:00,1.59,6.611,6/2/2024 8:00,0.93,0.916,108.527,,,,,,,,,
6/2/2024 14:00,0.91,10.29,6/1/2024 17:00,1.58,6.738,6/2/2024 9:00,0.94,0.961,109.628,,,,,,,,,
6/2/2024 14:00,0.91,10.364,6/1/2024 18:00,1.59,6.809,6/2/2024 10:00,0.93,1.31,110.125,,,,,,,,,
6/2/2024 14:00,0.91,10.426,6/1/2024 18:00,1.58,6.911,6/2/2024 11:00,0.93,1.555,108.509,,,,,,,,,
6/2/2024 15:00,0.91,10.488,6/1/2024 18:00,1.58,6.892,6/2/2024 12:00,0.90,2.18,109.844,,,,,,,,,
6/2/2024 15:00,0.90,10.593,6/1/2024 18:00,1.57,7.095,6/2/2024 13:00,0.88,2.765,107.495,,,,,,,,,
6/2/2024 15:00,0.90,10.7,6/1/2024 19:00,1.56,7.233,6/2/2024 14:00,0.86,3.424,103.006,,,,,,,,,
6/2/2024 15:00,0.90,10.777,6/1/2024 19:00,1.55,7.415,6/2/2024 15:00,0.82,4.203,97.944,,,,,,,,,
6/2/2024 16:00,0.89,10.848,6/1/2024 19:00,1.55,7.476,6/2/2024 16:00,0.79,5.098,90.698,,,,,,,,,
6/2/2024 16:00,0.89,10.959,6/1/2024 19:00,1.55,7.641,6/2/2024 17:00,0.76,5.752,85.205,,,,,,,,,
6/2/2024 16:00,0.89,11.007,6/1/2024 20:00,1.55,7.776,6/2/2024 18:00,0.74,6.394,81.604,,,,,,,,,
6/2/2024 16:00,0.88,11.074,6/1/2024 20:00,1.55,7.734,6/2/2024 19:00,0.73,6.761,76.892,,,,,,,,,
6/2/2024 17:00,0.88,11.112,6/1/2024 20:00,1.55,7.789,6/2/2024 20:00,0.72,6.923,75.89,,,,,,,,,
6/2/2024 17:00,0.88,11.126,6/1/2024 20:00,1.55,7.792,6/2/2024 21:00,0.71,6.9,74.697,,,,,,,,,
6/2/2024 17:00,0.88,11.2,6/1/2024 21:00,1.55,7.986,6/2/2024 22:00,0.72,6.639,74.695,,,,,,,,,
6/2/2024 17:00,0.87,11.289,6/1/2024 21:00,1.54,8.075,6/2/2024 23:00,0.74,6.037,78.296,,,,,,,,,
6/2/2024 18:00,0.87,11.335,6/1/2024 21:00,1.54,8.147,6/3/2024 0:00,0.76,5.355,77.711,,,,,,,,,
6/2/2024 18:00,0.87,11.375,6/1/2024 21:00,1.54,8.146,6/3/2024 1:00,0.77,4.62,78.545,,,,,,,,,
6/2/2024 18:00,0.87,11.423,6/1/2024 22:00,1.54,8.08,6/3/2024 2:00,0.80,3.664,79.917,,,,,,,,,
6/2/2024 18:00,0.87,11.43,6/1/2024 22:00,1.54,8.109,6/3/2024 3:00,0.83,2.829,82.436,,,,,,,,,
6/2/2024 19:00,0.87,11.414,6/1/2024 22:00,1.54,8.139,6/3/2024 4:00,0.85,2.155,82.081,,,,,,,,,
6/2/2024 19:00,0.87,11.393,6/1/2024 22:00,1.54,8.036,6/3/2024 5:00,0.87,1.758,82.306,,,,,,,,,
6/2/2024 19:00,0.87,11.379,6/1/2024 23:00,1.54,8.123,6/3/2024 6:00,0.88,1.457,83.374,,,,,,,,,
6/2/2024 19:00,0.87,11.343,6/1/2024 23:00,1.54,8.198,6/3/2024 7:00,0.89,1.185,84.162,,,,,,,,,
6/2/2024 20:00,0.87,11.365,6/1/2024 23:00,1.54,8.234,6/3/2024 8:00,0.90,1.074,85.021,,,,,,,,,
