flux,chamber,pond,datetime_start,datetime_end,slope_ppm_hr,n_obs_included_in_lm,r2,air_temp,sur_wat_temp,umol_m2_hr,mmol_m2_hr,date,time,time24
32,1,B,7/4/24 0:01,7/4/24 0:10,-1.68050091,20,0.066237695,15.835,15.2415,-24.30173242,-0.024301732,7/4/24,0:01:19,0.016666667
33,1,B,7/4/24 0:21,7/4/24 0:35,2.549765203,29,0.086209515,14.80689655,15.11965517,37.00381399,0.037003814,7/4/24,0:21:58,0.35
34,1,B,7/4/24 0:47,7/4/24 1:01,3.613463954,29,0.236355667,15.35862069,15.03344828,52.34060229,0.052340602,7/4/24,0:47:06,0.783333333
35,1,B,7/4/24 1:12,7/4/24 1:26,1.638376,29,0.031344574,15.24482759,14.9362069,23.74104844,0.023741048,7/4/24,1:12:13,1.2
36,1,B,7/4/24 1:37,7/4/24 1:51,1.841200967,29,0.063480704,14.93793103,14.81448276,26.70852555,0.026708526,7/4/24,1:37:21,1.616666667
37,1,B,7/4/24 2:02,7/4/24 2:16,0.817382006,29,0.020187379,14.27241379,14.70965517,11.88442636,0.011884426,7/4/24,2:02:29,2.033333333
38,1,B,7/4/24 2:27,7/4/24 2:41,2.19567464,29,0.053821749,14.23103448,14.6437931,31.9288786,0.031928879,7/4/24,2:27:37,2.45
39,1,B,7/4/24 2:52,7/4/24 3:06,2.624470465,29,0.090609998,14.21034483,14.53448276,38.1670538,0.038167054,7/4/24,2:52:44,2.866666667
40,1,B,7/4/24 3:17,7/4/24 3:31,3.512129675,29,0.182591586,14.82068966,14.44827586,50.96781781,0.050967818,7/4/24,3:17:52,3.283333333
41,1,B,7/4/24 3:42,7/4/24 3:56,1.133316985,29,0.018709224,14.37931034,14.35034483,16.47187578,0.016471876,7/4/24,3:42:59,3.7
42,1,B,7/4/24 4:08,7/4/24 4:22,2.812123572,29,0.104929246,14.84482759,14.24793103,40.80595032,0.04080595,7/4/24,4:08:07,4.133333333
43,1,B,7/4/24 4:33,7/4/24 4:47,5.556979528,29,0.303113413,14.83448276,14.14206897,80.63869535,0.080638695,7/4/24,4:33:15,4.55
44,1,B,7/4/24 4:58,7/4/24 5:12,3.267971984,29,0.110637763,14.50344828,14.06931034,47.47691855,0.047476919,7/4/24,4:58:22,4.966666667
45,1,B,7/4/24 5:23,7/4/24 5:37,4.960604348,29,0.190260928,14.51724138,13.9662069,72.06393361,0.072063934,7/4/24,5:23:30,5.383333333
46,1,B,7/4/24 5:48,7/4/24 6:02,7.582565577,29,0.392493705,14.84482759,13.88724138,110.0285198,0.11002852,7/4/24,5:48:38,5.8
47,1,B,7/4/24 6:13,7/4/24 6:27,6.302173766,29,0.27360583,14.9137931,13.81068966,91.42721317,0.091427213,7/4/24,6:13:45,6.216666667
48,1,B,7/4/24 6:38,7/4/24 6:52,4.842927263,29,0.183022504,14.83448276,13.70310345,70.27690748,0.070276907,7/4/24,6:38:53,6.633333333
49,1,B,7/4/24 7:04,7/4/24 7:17,4.891802824,29,0.21977807,14.70344828,13.64655172,71.01846654,0.071018467,7/4/24,7:04:01,7.066666667
50,1,B,7/4/24 7:29,7/4/24 7:43,4.644147911,29,0.175497941,14.72068966,13.55,67.41901115,0.067419011,7/4/24,7:29:08,7.483333333
51,1,B,7/4/24 7:54,7/4/24 8:08,2.282039822,29,0.044800681,14.55517241,13.50482759,33.14738956,0.03314739,7/4/24,7:54:16,7.9
52,1,B,7/4/24 8:19,7/4/24 8:33,2.524286994,29,0.072663277,14.55517241,13.42482759,36.66611054,0.036666111,7/4/24,8:19:24,8.316666667
53,1,B,7/4/24 8:44,7/4/24 8:58,3.425249135,29,0.109410208,14.57586207,13.39275862,49.74930853,0.049749309,7/4/24,8:44:32,8.733333333
54,1,B,7/4/24 9:09,7/4/24 9:23,5.79922638,29,0.253642683,14.5862069,13.33655172,84.226612,0.084226612,7/4/24,9:09:39,9.15
55,1,B,7/4/24 9:34,7/4/24 9:48,4.159127751,29,0.120229384,14.40344828,13.27,60.44459386,0.060444594,7/4/24,9:34:47,9.566666667
56,1,B,7/4/24 9:59,7/4/24 10:13,2.490992139,29,0.094199683,14.35172414,13.22068966,36.20809591,0.036208096,7/4/24,9:59:55,9.983333333
57,1,B,7/4/24 10:25,7/4/24 10:38,5.26167196,29,0.225391363,14.44137931,13.19137931,76.45778077,0.076457781,7/4/24,10:25:02,10.41666667
58,1,B,7/4/24 10:50,7/4/24 11:04,5.016849574,29,0.194692748,14.4,13.13896552,72.91073745,0.072910737,7/4/24,10:50:10,10.83333333
59,1,B,7/4/24 11:15,7/4/24 11:29,4.226441451,29,0.145081784,14.47241379,13.09655172,61.40813586,0.061408136,7/4/24,11:15:18,11.25
60,1,B,7/4/24 11:40,7/4/24 11:54,5.857209738,29,0.261411612,14.75172414,13.08172414,85.019842,0.085019842,7/4/24,11:40:25,11.66666667
61,1,B,7/4/24 12:05,7/4/24 12:19,2.157420838,29,0.050839449,14.73448276,13.04310345,31.31773868,0.031317739,7/4/24,12:05:33,12.08333333
62,1,B,7/4/24 12:30,7/4/24 12:44,3.328238899,29,0.197156604,14.72758621,13.02448276,48.31482637,0.048314826,7/4/24,12:30:41,12.5
63,1,B,7/4/24 12:55,7/4/24 13:09,2.66535088,29,0.09495089,14.80344828,13.03448276,38.68173005,0.03868173,7/4/24,12:55:48,12.91666667
64,1,B,7/4/24 13:20,7/4/24 13:34,1.715205983,29,0.052499002,14.84827586,13.03482759,24.88858342,0.024888583,7/4/24,13:20:56,13.33333333
65,1,B,7/4/24 13:46,7/4/24 13:59,4.409625361,29,0.219418309,14.93793103,13.02413793,63.96617951,0.06396618,7/4/24,13:46:04,13.76666667
66,1,B,7/4/24 14:11,7/4/24 14:25,0.333574114,29,0.001364322,15.3,13.03862069,4.832763937,0.004832764,7/4/24,14:11:12,14.18333333
67,1,B,7/4/24 14:36,7/4/24 14:50,1.505250621,29,0.036595412,15.42758621,13.11310345,21.79816833,0.021798168,7/4/24,14:36:19,14.6
68,1,B,7/4/24 15:01,7/4/24 15:15,2.965740642,29,0.111362606,15.52413793,13.15275862,42.93377486,0.042933775,7/4/24,15:01:27,15.01666667
69,1,B,7/4/24 15:26,7/4/24 15:40,1.85817002,29,0.043577498,15.58965517,13.21689655,26.89383889,0.026893839,7/4/24,15:26:35,15.43333333
70,1,B,7/4/24 15:51,7/4/24 16:05,0.363704623,29,0.002319746,15.74137931,13.28482759,5.261238897,0.005261239,7/4/24,15:51:42,15.85
71,1,B,7/4/24 16:16,7/4/24 16:30,2.424458041,29,0.099125233,15.56896552,13.31724138,35.09240581,0.035092406,7/4/24,16:16:50,16.26666667
72,1,B,7/4/24 16:41,7/4/24 16:55,1.126438665,29,0.028829973,15.64827586,13.35793103,16.29996743,0.016299967,7/4/24,16:41:58,16.68333333
73,1,B,7/4/24 17:07,7/4/24 17:20,0.309466969,29,0.002548461,15.91034483,13.41,4.474036963,0.004474037,7/4/24,17:07:05,17.11666667
74,1,B,7/4/24 17:32,7/4/24 17:46,0.947770898,29,0.034203633,16.16896552,13.4737931,13.68989916,0.013689899,7/4/24,17:32:13,17.53333333
75,1,B,7/4/24 17:57,7/4/24 18:11,1.64816751,29,0.094954024,16.16206897,13.47896552,23.80721429,0.023807214,7/4/24,17:57:21,17.95
76,1,B,7/4/24 18:22,7/4/24 18:36,-0.844296407,29,0.022029608,16.31724138,13.53758621,-12.18903439,-0.012189034,7/4/24,18:22:28,18.36666667
77,1,B,7/4/24 18:47,7/4/24 19:01,0.544538725,29,0.00752319,16.25862069,13.57,7.863050963,0.007863051,7/4/24,18:47:36,18.78333333
78,1,B,7/4/24 19:12,7/4/24 19:26,0.346005893,29,0.002561047,16.16896552,13.60137931,4.9978173,0.004997817,7/4/24,19:12:44,19.2
79,1,B,7/4/24 19:37,7/4/24 19:51,-1.158600882,29,0.028941648,16.3137931,13.6562069,-16.72682024,-0.01672682,7/4/24,19:37:52,19.61666667
80,1,B,7/4/24 20:02,7/4/24 20:16,0.841844532,29,0.017193902,16.24827586,13.65586207,12.15653318,0.012156533,7/4/24,20:02:59,20.03333333
81,1,B,7/4/24 20:28,7/4/24 20:42,-0.948801375,29,0.022730788,16.4137931,13.66758621,-13.69319623,-0.013693196,7/4/24,20:28:07,20.46666667
82,1,B,7/4/24 20:53,7/4/24 21:07,1.8636765,29,0.089957106,16.22413793,13.67206897,26.91439352,0.026914394,7/4/24,20:53:14,20.88333333
83,1,B,7/4/24 21:18,7/4/24 21:32,1.034429198,29,0.039200771,16.32068966,13.6737931,14.93378718,0.014933787,7/4/24,21:18:22,21.3
84,1,B,7/4/24 21:43,7/4/24 21:57,-0.646817304,29,0.008499052,16.2137931,13.67758621,-9.341383987,-0.009341384,7/4/24,21:43:30,21.71666667
85,1,B,7/4/24 22:08,7/4/24 22:22,-2.256632663,29,0.152146362,16.06551724,13.6562069,-32.60716664,-0.032607167,7/4/24,22:08:37,22.13333333
86,1,B,7/4/24 22:33,7/4/24 22:47,0.184166971,29,0.000731737,15.86551724,13.63517241,2.662958313,0.002662958,7/4/24,22:33:45,22.55
