flux,chamber,datetime_start,datetime_end,slope_ppm_hr,n_obs_included_in_lm,r2,air_temp,sur_wat_temp,umol_m2_hr,mmol_m2_hr,pond,date,time,time24
32,1,7/4/24 0:00,7/4/24 0:10,31.69752767,21,0.808053433,15.81904762,15.23666667,458.4034173,0.458403417,B,7/4/24,0:00:49,0
33,1,7/4/24 0:21,7/4/24 0:35,25.34151203,29,0.635048842,14.75172414,15.11758621,367.8426153,0.367842615,B,7/4/24,0:21:04,0.35
34,1,7/4/24 0:46,7/4/24 1:01,22.49541373,29,0.48263399,15.25862069,15.03758621,325.9564138,0.325956414,B,7/4/24,0:46:12,0.766666667
35,1,7/4/24 1:11,7/4/24 1:26,21.00121531,29,0.41881786,15.13793103,14.93793103,304.4330155,0.304433016,B,7/4/24,1:11:20,1.183333333
36,1,7/4/24 1:36,7/4/24 1:51,9.358931182,29,0.201807922,14.81724138,14.81586207,135.8178813,0.135817881,B,7/4/24,1:36:27,1.6
37,1,7/4/24 2:01,7/4/24 2:16,9.494185511,29,0.191241438,14.17241379,14.71206897,138.089924,0.138089924,B,7/4/24,2:01:35,2.016666667
38,1,7/4/24 2:26,7/4/24 2:41,4.930998515,28,0.045729618,14.125,14.64678571,71.73165019,0.07173165,B,7/4/24,2:26:43,2.433333333
39,1,7/4/24 2:51,7/4/24 3:06,14.75883767,29,0.414345726,14.11724138,14.53517241,214.7038517,0.214703852,B,7/4/24,2:51:50,2.85
40,1,7/4/24 3:16,7/4/24 3:31,14.67983756,29,0.322703984,14.7,14.44448276,213.1222535,0.213122254,B,7/4/24,3:16:58,3.266666667
41,1,7/4/24 3:42,7/4/24 3:56,8.211124764,29,0.09535156,14.26896552,14.35172414,119.3880923,0.119388092,B,7/4/24,3:42:06,3.7
42,1,7/4/24 4:07,7/4/24 4:22,5.174905358,29,0.065014674,14.72758621,14.24689655,75.12220768,0.075122208,B,7/4/24,4:07:13,4.116666667
43,1,7/4/24 4:32,7/4/24 4:47,12.39773997,29,0.314726948,14.70344828,14.14448276,179.9885468,0.179988547,B,7/4/24,4:32:21,4.533333333
44,1,7/4/24 4:57,7/4/24 5:12,4.597529123,29,0.029823749,14.40689655,14.07,66.81507875,0.066815079,B,7/4/24,4:57:28,4.95
45,1,7/4/24 5:22,7/4/24 5:37,7.850018393,29,0.136429146,14.39310345,13.97034483,114.0884033,0.114088403,B,7/4/24,5:22:36,5.366666667
46,1,7/4/24 5:47,7/4/24 6:02,5.903091848,28,0.051442229,14.71785714,13.89321429,85.6959207,0.085695921,B,7/4/24,5:47:44,5.783333333
47,1,7/4/24 6:12,7/4/24 6:27,5.703311069,30,0.055921583,14.80333333,13.81166667,82.77110111,0.082771101,B,7/4/24,6:12:52,6.2
48,1,7/4/24 6:37,7/4/24 6:52,1.042014187,29,0.001981455,14.7137931,13.70724138,15.12726349,0.015127263,B,7/4/24,6:37:59,6.616666667
49,1,7/4/24 7:03,7/4/24 7:17,6.096553312,29,0.075213261,14.57586207,13.64724138,88.54810257,0.088548103,B,7/4/24,7:03:07,7.05
50,1,7/4/24 7:28,7/4/24 7:43,3.665015356,29,0.030508384,14.59655172,13.55275862,53.22791495,0.053227915,B,7/4/24,7:28:15,7.466666667
51,1,7/4/24 7:53,7/4/24 8:08,0.217668552,28,8.26873170031804e-05,14.45,13.50892857,3.162864522,0.003162865,B,7/4/24,7:53:22,7.883333333
52,1,7/4/24 8:18,7/4/24 8:33,1.673108508,30,0.008982281,14.45333333,13.426,24.31106452,0.024311065,B,7/4/24,8:18:30,8.3
53,1,7/4/24 8:43,7/4/24 8:58,-7.633594785,29,0.097707629,14.45517241,13.39689655,-110.9190634,-0.110919063,B,7/4/24,8:43:38,8.716666667
54,1,7/4/24 9:08,7/4/24 9:23,-4.685191798,29,0.041376079,14.47241379,13.33103448,-68.07355497,-0.068073555,B,7/4/24,9:08:45,9.133333333
55,1,7/4/24 9:33,7/4/24 9:48,-8.215680588,29,0.114460483,14.28275862,13.26724138,-119.4486008,-0.119448601,B,7/4/24,9:33:53,9.55
56,1,7/4/24 9:59,7/4/24 10:13,-3.226077352,29,0.040129097,14.23793103,13.22068966,-46.91157714,-0.046911577,B,7/4/24,9:59:01,9.983333333
57,1,7/4/24 10:24,7/4/24 10:38,-5.120836807,28,0.044096549,14.32857143,13.19035714,-74.4404931,-0.074440493,B,7/4/24,10:24:09,10.4
58,1,7/4/24 10:49,7/4/24 11:04,-3.225495174,30,0.060675269,14.29333333,13.14033333,-46.8940713,-0.046894071,B,7/4/24,10:49:16,10.81666667
59,1,7/4/24 11:14,7/4/24 11:29,-16.66634148,29,0.465961948,14.34137931,13.09655172,-242.264195,-0.242264195,B,7/4/24,11:14:24,11.23333333
60,1,7/4/24 11:39,7/4/24 11:54,-8.590683141,29,0.18513227,14.63103448,13.08172414,-124.749644,-0.124749644,B,7/4/24,11:39:31,11.65
61,1,7/4/24 12:04,7/4/24 12:19,-2.209655138,28,0.017518162,14.625,13.04964286,-32.08818991,-0.03208819,B,7/4/24,12:04:39,12.06666667
62,1,7/4/24 12:29,7/4/24 12:44,-6.910485938,29,0.133899725,14.6,13.02689655,-100.3614758,-0.100361476,B,7/4/24,12:29:47,12.48333333
63,1,7/4/24 12:54,7/4/24 13:09,7.047164557,29,0.128815805,14.69655172,13.03689655,102.3121392,0.102312139,B,7/4/24,12:54:55,12.9
64,1,7/4/24 13:20,7/4/24 13:34,-7.501957514,29,0.116602088,14.75172414,13.03482759,-108.8940419,-0.108894042,B,7/4/24,13:20:02,13.33333333
65,1,7/4/24 13:45,7/4/24 13:59,-0.959793226,28,0.003917959,14.83214286,13.0275,-13.9279085,-0.013927909,B,7/4/24,13:45:10,13.75
66,1,7/4/24 14:10,7/4/24 14:25,13.2892249,29,0.642152559,15.21034483,13.04482759,192.5918471,0.192591847,B,7/4/24,14:10:18,14.16666667
67,1,7/4/24 14:35,7/4/24 14:50,-1.070714686,30,0.011855517,15.33333333,13.11133333,-15.51053634,-0.015510536,B,7/4/24,14:35:25,14.58333333
68,1,7/4/24 15:00,7/4/24 15:15,0.197653431,29,0.00021676,15.46551724,13.1537931,2.861926426,0.002861926,B,7/4/24,15:00:33,15
69,1,7/4/24 15:25,7/4/24 15:40,16.51217063,30,0.556663681,15.51666667,13.215,239.0459081,0.239045908,B,7/4/24,15:25:41,15.41666667
70,1,7/4/24 15:51,7/4/24 16:05,13.27935977,27,0.652909681,15.73703704,13.28222222,192.0980101,0.19209801,B,7/4/24,15:51:42,15.85
71,1,7/4/24 16:15,7/4/24 16:30,7.65869431,27,0.233154166,15.47777778,13.31518519,110.8894918,0.110889492,B,7/4/24,16:15:56,16.25
