 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2017      1      2   12.00        24.00   0.28880E+02   0.00000E+00   0.28880E+02   0.27955E+02   0.28926E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.56475E+01   0.48293E+02  -0.11728E+03  -0.25518E+03   0.98443E-03   0.62715E-09   0.69266E-05       0.31     296.55     0.0000  0.00   0.32251E-01   0.12628E+00    28.8970    28.2691    26.7093    22.4842    19.5615
   2017      1      3   12.00        48.00   0.28683E+02   0.00000E+00   0.28683E+02   0.27354E+02   0.28723E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.45300E+01   0.42285E+02  -0.10500E+03  -0.13694E+03   0.10019E-02   0.42232E-30   0.72389E-05       0.31     287.85     0.0000  0.00   0.26513E-01  -0.10027E+00    28.7212    28.0284    25.2175    19.9789    17.8908
   2017      1      4   12.00        72.00   0.28647E+02   0.00000E+00   0.28647E+02   0.27277E+02   0.28695E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.64482E+01   0.42843E+02  -0.10916E+03  -0.10582E+03   0.10221E-02   0.18292E-28   0.75151E-05       0.31     248.64     0.0000  0.00   0.82775E-02  -0.22441E+00    28.6923    28.1986    24.8223    19.4700    17.8435
   2017      1      5   12.00        96.00   0.28201E+02   0.00000E+00   0.28201E+02   0.26967E+02   0.28246E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.57888E+01   0.39815E+02  -0.10488E+03  -0.93774E+02   0.88623E-03   0.17748E-27   0.41028E-05       0.31     254.25     0.0000  0.00  -0.18688E-01  -0.56661E-01    28.2430    28.0489    24.6100    19.1766    17.7621
   2017      1      6   12.00       120.00   0.28598E+02   0.00000E+00   0.28598E+02   0.27321E+02   0.28638E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.60246E+01   0.41650E+02  -0.10448E+03  -0.84631E+02   0.80550E-03   0.67350E-28   0.33049E-05       0.31     285.69     0.0000  0.00  -0.12557E-01   0.81560E-01    28.6355    28.4316    24.8568    19.4811    18.3089
   2017      1      7   12.00       144.00   0.29054E+02   0.00000E+00   0.29054E+02   0.27752E+02   0.29096E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.63709E+01   0.44957E+02  -0.10850E+03  -0.77286E+02   0.74828E-03   0.10291E-27   0.20261E-05       0.31     288.06     0.0000  0.00   0.74242E-02   0.10667E+00    29.0931    28.8982    25.2028    19.8380    18.7543
   2017      1      8   12.00       168.00   0.29474E+02   0.00000E+00   0.29474E+02   0.28195E+02   0.29519E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.57695E+01   0.47735E+02  -0.11217E+03  -0.70657E+02   0.74681E-03   0.29806E-27   0.19611E-05       0.31     284.90     0.0000  0.00   0.14113E-01   0.24934E-01    29.5159    29.3699    25.6534    20.2831    19.2383
   2017      1      9   12.00       192.00   0.29691E+02   0.00000E+00   0.29691E+02   0.28493E+02   0.29742E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.57903E+01   0.53596E+02  -0.12441E+03  -0.66669E+02   0.89330E-03   0.43128E-26   0.33766E-05       0.31     291.33     0.0000  0.00   0.18665E-01  -0.66550E-01    29.7377    29.6692    26.1014    20.6747    19.6144
   2017      1     10   12.00       216.00   0.29740E+02   0.00000E+00   0.29740E+02   0.28709E+02   0.29799E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.66116E+01   0.59883E+02  -0.13897E+03  -0.62201E+02   0.11440E-02   0.14983E-24   0.98575E-05       0.31     299.47     0.0000  0.00   0.18180E-01  -0.21679E+00    29.7932    29.7912    26.7197    21.2379    20.1951
   2017      1     11   12.00       240.00   0.29650E+02   0.00000E+00   0.29650E+02   0.28770E+02   0.29706E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.72885E+01   0.57220E+02  -0.13204E+03  -0.57626E+02   0.70729E-03   0.21443E-24   0.36831E-05       0.31     279.32     0.0000  0.00   0.38208E-02  -0.86586E-01    29.7002    29.7046    27.2418    21.6604    20.5318
   2017      1     12   12.00       264.00   0.29511E+02   0.00000E+00   0.29511E+02   0.28745E+02   0.29565E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.88462E+01   0.55847E+02  -0.12684E+03  -0.53436E+02   0.71494E-03   0.41317E-24   0.14368E-05       0.31     249.35     0.0000  0.00  -0.92951E-02  -0.22872E-01    29.5590    29.5638    27.5704    21.9419    20.6653
   2017      1     13   12.00       288.00   0.29170E+02   0.00000E+00   0.29170E+02   0.28530E+02   0.29227E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.95599E+01   0.53687E+02  -0.12454E+03  -0.51797E+02   0.88276E-03   0.26329E-23   0.30582E-05       0.31     250.55     0.0000  0.00   0.21729E-02  -0.12655E+00    29.2208    29.2254    27.7198    22.1214    20.7060
   2017      1     14   12.00       312.00   0.28997E+02   0.00000E+00   0.28997E+02   0.28449E+02   0.29056E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.96425E+01   0.51809E+02  -0.12347E+03  -0.47413E+02   0.12029E-02   0.28972E-22   0.10830E-04       0.31     225.14     0.0000  0.00   0.26110E-01  -0.19310E+00    29.0495    29.0542    27.8846    22.4182    20.9140
   2017      1     15   12.00       336.00   0.28428E+02   0.00000E+00   0.28428E+02   0.27976E+02   0.28481E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.82780E+01   0.44488E+02  -0.10963E+03  -0.45802E+02   0.13641E-02   0.13012E-21   0.17923E-04       0.30     203.91     0.0000  0.00   0.28109E-01  -0.29861E+00    28.4754    28.4794    27.6907    22.3452    20.6377
   2017      1     16   12.00       360.00   0.28331E+02   0.00000E+00   0.28331E+02   0.27909E+02   0.28381E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.77710E+01   0.44298E+02  -0.10638E+03  -0.43741E+02   0.86221E-03   0.32396E-22   0.47204E-05       0.30     219.90     0.0000  0.00   0.78346E-02  -0.14564E+00    28.3764    28.3804    27.6679    22.5541    20.8698
   2017      1     17   12.00       384.00   0.28208E+02   0.00000E+00   0.28208E+02   0.27813E+02   0.28255E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.75207E+01   0.43952E+02  -0.10498E+03  -0.41473E+02   0.58900E-03   0.27586E-22   0.71028E-06       0.30     207.96     0.0000  0.00  -0.43885E-02  -0.53754E-01    28.2500    28.2543    27.6189    22.6800    20.9519
   2017      1     18   12.00       408.00   0.27879E+02   0.00000E+00   0.27879E+02   0.27545E+02   0.27934E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.95408E+01   0.42855E+02  -0.10312E+03  -0.37800E+02   0.10553E-02   0.93388E-21   0.73316E-05       0.30     167.18     0.0000  0.00  -0.46158E-02  -0.20203E+00    27.9285    27.9330    27.4716    22.7137    20.8616
   2017      1     19   12.00       432.00   0.27105E+02   0.00000E+00   0.27105E+02   0.26866E+02   0.27158E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10608E+02   0.38476E+02  -0.94844E+02  -0.36434E+02   0.15620E-02   0.25906E-19   0.32134E-04       0.30     142.91     0.0000  0.00  -0.76025E-02  -0.48027E+00    27.1524    27.1567    26.9919    22.5933    20.4105
   2017      1     20   12.00       456.00   0.26807E+02   0.00000E+00   0.26807E+02   0.26595E+02   0.26849E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.77435E+01   0.34615E+02  -0.87696E+02  -0.36055E+02   0.11608E-02   0.16566E-19   0.15504E-04       0.30     195.41     0.0000  0.00  -0.14109E-01  -0.27930E+00    26.8453    26.8485    26.7220    22.7426    20.6312
   2017      1     21   12.00       480.00   0.27293E+02   0.00000E+00   0.27293E+02   0.27024E+02   0.27332E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.61691E+01   0.35217E+02  -0.90080E+02  -0.34479E+02   0.79863E-03   0.39073E-23   0.34036E-05       0.30     230.15     0.0000  0.00  -0.14014E-01   0.62955E-01    27.3283    27.3311    26.9596    23.1120    21.3464
   2017      1     22   12.00       504.00   0.27607E+02   0.00000E+00   0.27607E+02   0.27330E+02   0.27655E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.80522E+01   0.39140E+02  -0.99691E+02  -0.32408E+02   0.86251E-03   0.46464E-22   0.41960E-05       0.30     210.18     0.0000  0.00  -0.11617E-01   0.12580E+00    27.6499    27.6537    27.2250    23.3728    21.7161
   2017      1     23   12.00       528.00   0.27435E+02   0.00000E+00   0.27435E+02   0.27199E+02   0.27485E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.86757E+01   0.37978E+02  -0.99033E+02  -0.31088E+02   0.33124E-03   0.15862E-21   0.12135E-06       0.30     182.36     0.0000  0.00   0.60032E-03  -0.32526E-02    27.4795    27.4838    27.2115    23.3953    21.7014
   2017      1     24   12.00       552.00   0.27285E+02   0.00000E+00   0.27285E+02   0.27062E+02   0.27328E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.74688E+01   0.36387E+02  -0.92634E+02  -0.31911E+02   0.72148E-03   0.56333E-21   0.16654E-05       0.30     197.92     0.0000  0.00  -0.25778E-02  -0.91733E-01    27.3228    27.3266    27.1090    23.4081    21.7343
   2017      1     25   12.00       576.00   0.27690E+02   0.00000E+00   0.27690E+02   0.27442E+02   0.27730E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.66796E+01   0.36798E+02  -0.94641E+02  -0.32759E+02   0.92280E-03   0.19708E-22   0.43781E-05       0.30     245.94     0.0000  0.00  -0.85170E-02  -0.15771E+00    27.7258    27.7288    27.3904    23.8100    22.2775
   2017      1     26   12.00       600.00   0.28197E+02   0.00000E+00   0.28197E+02   0.27938E+02   0.28246E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.86297E+01   0.44002E+02  -0.10481E+03  -0.29216E+02   0.72995E-03   0.52040E-22   0.18343E-05       0.30     215.78     0.0000  0.00  -0.13361E-02  -0.10155E+00    28.2410    28.2448    27.8241    24.2458    22.7344
   2017      1     27   12.00       624.00   0.27778E+02   0.00000E+00   0.27778E+02   0.27574E+02   0.27826E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.87038E+01   0.42234E+02  -0.96782E+02  -0.27555E+02   0.57920E-03   0.13244E-20   0.51995E-06       0.30     156.82     0.0000  0.00  -0.10529E-02  -0.55717E-01    27.8199    27.8246    27.6393    24.0470    22.3301
   2017      1     28   12.00       648.00   0.27440E+02   0.00000E+00   0.27440E+02   0.27264E+02   0.27487E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.74344E+01   0.37185E+02  -0.93241E+02  -0.28947E+02   0.60513E-03   0.31820E-20   0.70376E-06       0.29     182.81     0.0000  0.00  -0.46725E-02  -0.54859E-01    27.4820    27.4858    27.3717    23.9444    22.2081
   2017      1     29   12.00       672.00   0.27609E+02   0.00000E+00   0.27609E+02   0.27435E+02   0.27654E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.71565E+01   0.35182E+02  -0.95624E+02  -0.28764E+02   0.41828E-03   0.26323E-21   0.36000E-06       0.29     219.02     0.0000  0.00  -0.39310E-03   0.18320E-01    27.6499    27.6533    27.5114    24.2614    22.6617
   2017      1     30   12.00       696.00   0.28045E+02   0.00000E+00   0.28045E+02   0.27841E+02   0.28085E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.69839E+01   0.34598E+02  -0.93451E+02  -0.28013E+02   0.58756E-03   0.24303E-22   0.82589E-06       0.29     229.21     0.0000  0.00   0.22547E-02   0.66283E-01    28.0816    28.0847    27.8338    24.6064    23.0919
   2017      1     31   12.00       720.00   0.28448E+02   0.00000E+00   0.28448E+02   0.28231E+02   0.28495E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.80602E+01   0.42110E+02  -0.10288E+03  -0.26803E+02   0.66723E-03   0.14452E-21   0.13724E-05       0.29     223.72     0.0000  0.00   0.73233E-02   0.62006E-01    28.4900    28.4938    28.1823    24.9001    23.4522
