 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - the talik depth, m
 Col. 7 - lake surface methane concentration, mol/m**3
 Col. 8 - lake bottom methane concentration, mol/m**3
 Col. 9 - soil bottom methane concentration, mol/m**3
 Col. 10 - lake surface oxygen concentration, mol/m**3
 Col. 11 - lake bottom oxygen concentration, mol/m**3
 Col. 12 - total methane production due to young C decomposition, mol/(m**2*s)
 Col. 13 - total methane production due to old C decomposition, mol/(m**2*s)
 Col. 14 - methane ebullition flux averaged over the lake bottom, upwards, mol/(m**2*s)
 Col. 15 - methane ebullition flux at the surface, mol/(m**2*s)
 Col. 16 - methane plant-mediated flux at the lake bottom, mol/(m**2*s)
 Col. 17 - methane diffusion flux averaged over the lake bottom, upwards, mol/(m**2*s)
 Col. 18 - methane turbulent flux at the lake surface, upwards, mol/(m**2*s)
 Col. 19 - methane ebullition flux averaged over the lake bottom, upwards, mg/(m**2*day)
 Col. 20 - methane ebullition flux at the surface, mg/(m**2*day)
 Col. 21 - methane plant-mediated flux at the lake bottom, mg/(m**2*day)
 Col. 22 - methane diffusion flux averaged over lake bottom, upwards, mg/(m**2*day)
 Col. 23 - methane turbulent flux at the lake surface, upwards, mg/(m**2*day)
 Col. 24 - methane turbulent flux at the bottom of mixed layer normalized by  surface area, upwards, mg/(m**2*day)
 Col. 25 - methane flux from sediments in the mixed layer normalized by  surface area, upwards, mg/(m**2*day)
 Col. 26 - methane bubble flux at the bottom of the mixed layer normalized by  surface area, upwards, mg/(m**2*day)
 Col. 27 - total methane oxidation in water normalized by  surface area, mg/(m**2*day)
 Col. 28 - methane oxidation in mixed layer normalized by  surface area, mg/(m**2*day)
 Col. 29 - co2 turbulent flux at the lake surface, upwards, mol/(m**2*s)
 Col. 30 - co2 ebullition flux at the surface, mol/(m**2*s)
 Col. 31 - oxygen turbulent flux at the lake surface, upwards, mol/(m**2*s)
 Col. 32 - oxygen ebullition flux at the surface, mol/(m**2*s)
 Col. 33 - methane flux by inlets, normalized by surface area, mol/(m**2*s)
 Col. 34 - methane flux through outlet, normalized by surface area, mol/(m**2*s)
 Col. 35..35+ns-1 - methane ebullition flux at the surface from different soil columns, mg/(m**2*day)
   2017      1      2   12.00        24.00    0.00    0.10094E+00    0.25354E+00    0.40890E-01    0.14075E+00    0.85462E-04    0.85084E-07    0.00000E+00    0.25931E-07    0.25232E-07    0.00000E+00    0.33863E-07    0.14535E-05    0.35847E+02    0.34880E+02    0.00000E+00    0.46813E+02    0.20093E+04    0.10782E+02   -0.12138E+02    0.79421E+00   -0.50512E+01   -0.50480E+01    0.39950E-06    0.17405E-14    0.18350E-05    0.87150E-15    0.61080E-07    0.36289E-07    0.17741E+02    0.58866E+02    0.45631E+02    0.11143E+02    0.18678E+00
   2017      1      3   12.00        48.00    0.00    0.27249E-01    0.26747E+00    0.40889E-01    0.18349E+00    0.21295E-04    0.70748E-07    0.00000E+00    0.56834E-08    0.54684E-08    0.00000E+00    0.46614E-08    0.38002E-06    0.78567E+01    0.75595E+01    0.00000E+00    0.64439E+01    0.52534E+03   -0.59725E+00    0.17559E+01    0.00000E+00   -0.49699E+01   -0.49677E+01    0.57270E-06    0.58567E-23    0.11488E-05    0.10816E-22    0.61084E-07    0.30670E-07    0.00000E+00    0.25731E+00    0.26471E+02    0.00000E+00    0.00000E+00
   2017      1      4   12.00        72.00    0.00    0.15786E-01    0.27884E+00    0.40889E-01    0.19203E+00    0.42513E-05    0.65537E-07    0.00000E+00    0.45048E-08    0.43304E-08    0.00000E+00    0.24630E-08    0.23463E-06    0.62275E+01    0.59863E+01    0.00000E+00    0.34048E+01    0.32436E+03   -0.60314E+00    0.30427E+01    0.00000E+00   -0.46898E+01   -0.46890E+01    0.69551E-06    0.60952E-23    0.10807E-05    0.12220E-22    0.61084E-07    0.28463E-07    0.00000E+00    0.00000E+00    0.21166E+02    0.00000E+00    0.00000E+00
   2017      1      5   12.00        96.00    0.00    0.14434E-01    0.28849E+00    0.40889E-01    0.20253E+00    0.56740E-06    0.62183E-07    0.00000E+00    0.38452E-08    0.36932E-08    0.00000E+00    0.87762E-09    0.19693E-06    0.53156E+01    0.51055E+01    0.00000E+00    0.12132E+01    0.27224E+03   -0.88813E-01    0.41321E+01    0.74879E+00   -0.49435E+01   -0.49424E+01    0.63105E-06    0.62624E-23    0.86105E-06    0.14691E-22    0.61084E-07    0.26477E-07    0.00000E+00    0.00000E+00    0.18052E+02    0.00000E+00    0.00000E+00
   2017      1      6   12.00       120.00    0.00    0.65277E-02    0.29702E+00    0.40889E-01    0.23480E+00    0.12035E-07    0.60681E-07    0.00000E+00    0.45384E-08    0.43588E-08    0.00000E+00    0.88227E-09    0.86163E-07    0.62738E+01    0.60255E+01    0.00000E+00    0.12196E+01    0.11911E+03    0.20062E+00    0.45753E+01    0.27870E+01   -0.36834E+01   -0.36824E+01    0.47728E-06    0.56807E-23    0.34490E-06    0.17126E-22    0.61084E-07    0.25581E-07    0.00000E+00    0.00000E+00    0.21305E+02    0.00000E+00    0.00000E+00
   2017      1      7   12.00       144.00    0.00    0.44956E-02    0.30460E+00    0.40889E-01    0.27627E+00    0.10000E-19    0.60018E-07    0.00000E+00    0.54797E-08    0.52638E-08    0.00000E+00    0.99325E-09    0.58953E-07    0.75751E+01    0.72767E+01    0.00000E+00    0.13731E+01    0.81497E+02    0.22367E+00    0.53141E+01    0.33651E+01   -0.31705E+01   -0.31704E+01    0.18500E-06    0.39925E-23   -0.28883E-06    0.20701E-22    0.61084E-07    0.25340E-07    0.00000E+00    0.00000E+00    0.25729E+02    0.00000E+00    0.00000E+00
   2017      1      8   12.00       168.00    0.00    0.48865E-02    0.31146E+00    0.40889E-01    0.25118E+00    0.10000E-19    0.59921E-07    0.00000E+00    0.66690E-08    0.64066E-08    0.00000E+00    0.11815E-08    0.66082E-07    0.92192E+01    0.88564E+01    0.00000E+00    0.16333E+01    0.91352E+02    0.24842E+00    0.62763E+01    0.41194E+01   -0.32946E+01   -0.32946E+01    0.13244E-06    0.46155E-23    0.51888E-07    0.23322E-22    0.61084E-07    0.25146E-07    0.00000E+00    0.00000E+00    0.31168E+02    0.14911E+00    0.00000E+00
   2017      1      9   12.00       192.00    0.00    0.62447E-02    0.31664E+00    0.40888E-01    0.22192E+00    0.10000E-19    0.59992E-07    0.00000E+00    0.87004E-08    0.83115E-08    0.00000E+00    0.20948E-08    0.91700E-07    0.12027E+02    0.11490E+02    0.00000E+00    0.28958E+01    0.12677E+03    0.22322E+00    0.72222E+01    0.67741E+01   -0.36603E+01   -0.36603E+01    0.28070E-06    0.11549E-22    0.50976E-06    0.42286E-22    0.61084E-07    0.24693E-07    0.00000E+00    0.00000E+00    0.34068E+02    0.66589E+01    0.00000E+00
   2017      1     10   12.00       216.00    0.00    0.88981E-02    0.31773E+00    0.40888E-01    0.21308E+00    0.10000E-19    0.60634E-07    0.00000E+00    0.71091E-08    0.67157E-08    0.00000E+00   -0.83020E-09    0.14898E-06    0.98276E+01    0.92837E+01    0.00000E+00   -0.11477E+01    0.20595E+03    0.17790E+01    0.75893E+01    0.76574E+01   -0.45236E+01   -0.45223E+01    0.42885E-06    0.11755E-22    0.73929E-06    0.40762E-22    0.61084E-07    0.23583E-07    0.00000E+00    0.00000E+00    0.17238E+02    0.15827E+02    0.00000E+00
   2017      1     11   12.00       240.00    0.00    0.80991E-02    0.31643E+00    0.40888E-01    0.21208E+00    0.10000E-19    0.61238E-07    0.00000E+00    0.44089E-08    0.40879E-08    0.00000E+00   -0.44263E-08    0.12335E-06    0.60948E+01    0.56511E+01    0.00000E+00   -0.61189E+01    0.17052E+03    0.12227E+01    0.83788E+01    0.59284E+01   -0.44792E+01   -0.44789E+01    0.45135E-06    0.84127E-23    0.69514E-06    0.26999E-22    0.61084E-07    0.22223E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.20289E+02    0.00000E+00
   2017      1     12   12.00       264.00    0.00    0.70246E-02    0.31479E+00    0.40888E-01    0.20877E+00    0.10000E-19    0.61554E-07    0.00000E+00    0.46928E-08    0.43500E-08    0.00000E+00   -0.48928E-08    0.10386E-06    0.64873E+01    0.60134E+01    0.00000E+00   -0.67638E+01    0.14358E+03    0.66690E+00    0.95296E+01    0.63275E+01   -0.42480E+01   -0.42480E+01    0.50327E-06    0.89644E-23    0.74110E-06    0.27554E-22    0.61084E-07    0.21244E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.21589E+02    0.00000E+00
   2017      1     13   12.00       288.00    0.00    0.67069E-02    0.31376E+00    0.40888E-01    0.20926E+00    0.10000E-19    0.61538E-07    0.00000E+00    0.48097E-08    0.44560E-08    0.00000E+00   -0.51684E-08    0.10136E-06    0.66489E+01    0.61600E+01    0.00000E+00   -0.71448E+01    0.14013E+03    0.13928E+01    0.10035E+02    0.64916E+01   -0.42433E+01   -0.42433E+01    0.55838E-06    0.93999E-23    0.77257E-06    0.28770E-22    0.61084E-07    0.20213E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.22116E+02    0.00000E+00
   2017      1     14   12.00       312.00    0.00    0.61045E-02    0.31218E+00    0.40888E-01    0.21082E+00    0.10000E-19    0.61886E-07    0.00000E+00    0.53324E-08    0.49389E-08    0.00000E+00   -0.52522E-08    0.10242E-06    0.73715E+01    0.68275E+01    0.00000E+00   -0.72606E+01    0.14159E+03    0.23657E+01    0.10837E+02    0.72082E+01   -0.41125E+01   -0.41121E+01    0.65151E-06    0.97172E-23    0.84116E-06    0.29908E-22    0.61084E-07    0.19295E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.24512E+02    0.00000E+00
   2017      1     15   12.00       336.00    0.00    0.60530E-02    0.31195E+00    0.40887E-01    0.21549E+00    0.10000E-19    0.61376E-07    0.00000E+00    0.48309E-08    0.44702E-08    0.00000E+00   -0.62382E-08    0.10626E-06    0.66782E+01    0.61796E+01    0.00000E+00   -0.86237E+01    0.14689E+03    0.37346E+01    0.11579E+02    0.65376E+01   -0.41882E+01   -0.41858E+01    0.68478E-06    0.98408E-23    0.83866E-06    0.31970E-22    0.61084E-07    0.18138E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.22186E+02    0.00000E+00
   2017      1     16   12.00       360.00    0.00    0.45532E-02    0.31173E+00    0.40887E-01    0.21595E+00    0.10000E-19    0.61459E-07    0.00000E+00    0.52838E-08    0.48881E-08    0.00000E+00   -0.60802E-08    0.66609E-07    0.73043E+01    0.67574E+01    0.00000E+00   -0.84053E+01    0.92081E+02    0.38816E+00    0.13076E+02    0.64137E+01   -0.35748E+01   -0.35748E+01    0.58544E-06    0.10118E-22    0.69604E-06    0.32067E-22    0.61084E-07    0.17553E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.24260E+02    0.00000E+00
   2017      1     17   12.00       384.00    0.00    0.45199E-02    0.31131E+00    0.40887E-01    0.21110E+00    0.10000E-19    0.61569E-07    0.00000E+00    0.70160E-08    0.65665E-08    0.00000E+00   -0.63046E-08    0.61185E-07    0.96989E+01    0.90775E+01    0.00000E+00   -0.87155E+01    0.84582E+02    0.19629E+00    0.15873E+02    0.61132E+01   -0.35178E+01   -0.35178E+01    0.58152E-06    0.17259E-22    0.72718E-06    0.54017E-22    0.61084E-07    0.17244E-07    0.72007E+01    0.00000E+00    0.44317E+01    0.24963E+02    0.00000E+00
   2017      1     18   12.00       408.00    0.00    0.50828E-02    0.31124E+00    0.40887E-01    0.21135E+00    0.10000E-19    0.61441E-07    0.00000E+00    0.11861E-07    0.11382E-07    0.00000E+00   -0.70469E-08    0.79223E-07    0.16397E+02    0.15735E+02    0.00000E+00   -0.97416E+01    0.10952E+03    0.16028E+01    0.23160E+02    0.60935E+01   -0.38219E+01   -0.38210E+01    0.69105E-06    0.20472E-22    0.85254E-06    0.65462E-22    0.61085E-07    0.16635E-07    0.40409E+02    0.11654E+02    0.31219E+01    0.23890E+02    0.00000E+00
   2017      1     19   12.00       432.00    0.00    0.57741E-02    0.31334E+00    0.40887E-01    0.21932E+00    0.10000E-19    0.60470E-07    0.00000E+00    0.13512E-07    0.13076E-07    0.00000E+00   -0.91044E-08    0.10821E-06    0.18679E+02    0.18076E+02    0.00000E+00   -0.12586E+02    0.14959E+03    0.21100E+01    0.27985E+02    0.48653E+01   -0.42780E+01   -0.42771E+01    0.81325E-06    0.17161E-22    0.94177E-06    0.59263E-22    0.61086E-07    0.14919E-07    0.33192E+02    0.31839E+02    0.35641E+00    0.17658E+02    0.00000E+00
   2017      1     20   12.00       456.00    0.00    0.43625E-02    0.31900E+00    0.40887E-01    0.22514E+00    0.10000E-19    0.60233E-07    0.00000E+00    0.13280E-07    0.12940E-07    0.00000E+00   -0.10320E-07    0.67180E-07    0.18358E+02    0.17888E+02    0.00000E+00   -0.14266E+02    0.92869E+02    0.23587E+00    0.30140E+02    0.21095E+01   -0.36797E+01   -0.36797E+01    0.63683E-06    0.92585E-20    0.69087E-06    0.74763E-19    0.61084E-07    0.13697E-07    0.37875E+02    0.35883E+02    0.54700E+00    0.10625E+02    0.57323E-01
   2017      1     21   12.00       480.00    0.00    0.38752E-02    0.32491E+00    0.40886E-01    0.21984E+00    0.10000E-19    0.61330E-07    0.00000E+00    0.17602E-07    0.17141E-07    0.00000E+00   -0.99638E-08    0.49236E-07    0.24333E+02    0.23696E+02    0.00000E+00   -0.13774E+02    0.68063E+02    0.25419E+00    0.35350E+02    0.26295E+01   -0.34408E+01   -0.34408E+01    0.55469E-06    0.24045E-22    0.62201E-06    0.74865E-22    0.61084E-07    0.13709E-07    0.47977E+02    0.46617E+02    0.30381E+01    0.12597E+02    0.99113E+01
   2017      1     22   12.00       504.00    0.00    0.35617E-02    0.32920E+00    0.40886E-01    0.21727E+00    0.10000E-19    0.62421E-07    0.00000E+00    0.24805E-07    0.24026E-07    0.00000E+00   -0.10180E-07    0.50000E-07    0.34291E+02    0.33213E+02    0.00000E+00   -0.14073E+02    0.69119E+02    0.43308E+00    0.45120E+02    0.29832E+01   -0.30827E+01   -0.30827E+01    0.62606E-06    0.24778E-22    0.70034E-06    0.72421E-22    0.61085E-07    0.13674E-07    0.47863E+02    0.46420E+02    0.35803E+02    0.12530E+02    0.21642E+02
   2017      1     23   12.00       528.00    0.00    0.39660E-02    0.33437E+00    0.40886E-01    0.21135E+00    0.10000E-19    0.62790E-07    0.00000E+00    0.23415E-07    0.22658E-07    0.00000E+00   -0.10844E-07    0.52247E-07    0.32369E+02    0.31322E+02    0.00000E+00   -0.14990E+02    0.72226E+02    0.92124E+00    0.43749E+02    0.27713E+01   -0.32414E+01   -0.32414E+01    0.62338E-06    0.25116E-22    0.75432E-06    0.73112E-22    0.61084E-07    0.13581E-07    0.42202E+02    0.40618E+02    0.39385E+02    0.97532E+01    0.28642E+02
   2017      1     24   12.00       552.00    0.00    0.41263E-02    0.33981E+00    0.40886E-01    0.21099E+00    0.10000E-19    0.62907E-07    0.00000E+00    0.23290E-07    0.22531E-07    0.00000E+00   -0.10975E-07    0.53596E-07    0.32196E+02    0.31148E+02    0.00000E+00   -0.15171E+02    0.74091E+02    0.17106E+01    0.43208E+02    0.31285E+01   -0.33839E+01   -0.33839E+01    0.63754E-06    0.25614E-22    0.75848E-06    0.73820E-22    0.61084E-07    0.13561E-07    0.42201E+02    0.40649E+02    0.38413E+02    0.92907E+01    0.36296E+02
   2017      1     25   12.00       576.00    0.00    0.37234E-02    0.34301E+00    0.40886E-01    0.21443E+00    0.10000E-19    0.63924E-07    0.00000E+00    0.28154E-07    0.27226E-07    0.00000E+00   -0.10940E-07    0.50210E-07    0.38919E+02    0.37638E+02    0.00000E+00   -0.15123E+02    0.69410E+02    0.16054E+01    0.49099E+02    0.40240E+01   -0.32150E+01   -0.32150E+01    0.65911E-06    0.26186E-22    0.70988E-06    0.72724E-22    0.61085E-07    0.13447E-07    0.50577E+02    0.49184E+02    0.44837E+02    0.12448E+02    0.48673E+02
   2017      1     26   12.00       600.00    0.00    0.35747E-02    0.34538E+00    0.40886E-01    0.21228E+00    0.10000E-19    0.65400E-07    0.00000E+00    0.30235E-07    0.29200E-07    0.00000E+00   -0.11054E-07    0.49487E-07    0.41797E+02    0.40366E+02    0.00000E+00   -0.15281E+02    0.68411E+02    0.14928E+01    0.51124E+02    0.50019E+01   -0.30562E+01   -0.30562E+01    0.67840E-06    0.26644E-22    0.72694E-06    0.70557E-22    0.61085E-07    0.13287E-07    0.52183E+02    0.50765E+02    0.47297E+02    0.16385E+02    0.58817E+02
   2017      1     27   12.00       624.00    0.00    0.42459E-02    0.35053E+00    0.40885E-01    0.20639E+00    0.10000E-19    0.65236E-07    0.00000E+00    0.24017E-07    0.23195E-07    0.00000E+00   -0.11866E-07    0.57662E-07    0.33201E+02    0.32065E+02    0.00000E+00   -0.16404E+02    0.79711E+02    0.15639E+01    0.44143E+02    0.38208E+01   -0.34102E+01   -0.34102E+01    0.69837E-06    0.26544E-22    0.82825E-06    0.72814E-22    0.61084E-07    0.13179E-07    0.41588E+02    0.39902E+02    0.39376E+02    0.10218E+02    0.59614E+02
   2017      1     28   12.00       648.00    0.00    0.44827E-02    0.35720E+00    0.40885E-01    0.20729E+00    0.10000E-19    0.64844E-07    0.00000E+00    0.24756E-07    0.23871E-07    0.00000E+00   -0.12564E-07    0.58514E-07    0.34223E+02    0.32999E+02    0.00000E+00   -0.17369E+02    0.80889E+02    0.19805E+01    0.44082E+02    0.49034E+01   -0.36069E+01   -0.36069E+01    0.68611E-06    0.26844E-22    0.80455E-06    0.74430E-22    0.61085E-07    0.13057E-07    0.42154E+02    0.40507E+02    0.38747E+02    0.10509E+02    0.87032E+02
   2017      1     29   12.00       672.00    0.00    0.42978E-02    0.36753E+00    0.40885E-01    0.20784E+00    0.10000E-19    0.65622E-07    0.00000E+00    0.29668E-07    0.28548E-07    0.00000E+00   -0.12453E-07    0.53795E-07    0.41013E+02    0.39465E+02    0.00000E+00   -0.17216E+02    0.74366E+02    0.16217E+01    0.48754E+02    0.68886E+01   -0.35229E+01   -0.35229E+01    0.66730E-06    0.27428E-22    0.75343E-06    0.73868E-22    0.61085E-07    0.12964E-07    0.48285E+02    0.46783E+02    0.43963E+02    0.14917E+02    0.12999E+03
   2017      1     30   12.00       696.00    0.00    0.40148E-02    0.37447E+00    0.40885E-01    0.20787E+00    0.10000E-19    0.66815E-07    0.00000E+00    0.33472E-07    0.32184E-07    0.00000E+00   -0.12139E-07    0.49885E-07    0.46272E+02    0.44492E+02    0.00000E+00   -0.16782E+02    0.68961E+02    0.16289E+01    0.52446E+02    0.82923E+01   -0.33573E+01   -0.33573E+01    0.66573E-06    0.28171E-22    0.72099E-06    0.71466E-22    0.61085E-07    0.12915E-07    0.53293E+02    0.51859E+02    0.47778E+02    0.19814E+02    0.14860E+03
   2017      1     31   12.00       720.00    0.00    0.39102E-02    0.37862E+00    0.40885E-01    0.20572E+00    0.10000E-19    0.68084E-07    0.00000E+00    0.41865E-07    0.39975E-07    0.00000E+00   -0.11271E-07    0.52674E-07    0.57875E+02    0.55261E+02    0.00000E+00   -0.15581E+02    0.72816E+02    0.16920E+01    0.56848E+02    0.14993E+02   -0.32128E+01   -0.32128E+01    0.72921E-06    0.28597E-22    0.78803E-06    0.69457E-22    0.61084E-07    0.13002E-07    0.54264E+02    0.52799E+02    0.49347E+02    0.54338E+02    0.15987E+03
   2017      2      1   12.00       744.00    0.00    0.38963E-02    0.38008E+00    0.40885E-01    0.20491E+00    0.10000E-19    0.69140E-07    0.00000E+00    0.43744E-07    0.41731E-07    0.00000E+00   -0.10619E-07    0.54181E-07    0.60472E+02    0.57689E+02    0.00000E+00   -0.14679E+02    0.74900E+02    0.19802E+01    0.56914E+02    0.17195E+02   -0.32110E+01   -0.32110E+01    0.75645E-06    0.28242E-22    0.81476E-06    0.70829E-22    0.61084E-07    0.13006E-07    0.54615E+02    0.53074E+02    0.50790E+02    0.60217E+02    0.16894E+03
   2017      2      2   12.00       768.00    0.00    0.40931E-02    0.37936E+00    0.40884E-01    0.20263E+00    0.10000E-19    0.70639E-07    0.00000E+00    0.43683E-07    0.41668E-07    0.00000E+00   -0.10793E-07    0.62029E-07    0.60387E+02    0.57602E+02    0.00000E+00   -0.14920E+02    0.85749E+02    0.66163E+01    0.53543E+02    0.20506E+02   -0.33532E+01   -0.33393E+01    0.82926E-06    0.28174E-22    0.90507E-06    0.71320E-22    0.61085E-07    0.12756E-07    0.53866E+02    0.52309E+02    0.50788E+02    0.60774E+02    0.17124E+03
   2017      2      3   12.00       792.00    0.00    0.50002E-02    0.38207E+00    0.40884E-01    0.20163E+00    0.10000E-19    0.70796E-07    0.00000E+00    0.39153E-07    0.37338E-07    0.00000E+00   -0.12435E-07    0.72397E-07    0.54125E+02    0.51617E+02    0.00000E+00   -0.17190E+02    0.10008E+03    0.49826E+01    0.50472E+02    0.17950E+02   -0.39123E+01   -0.39067E+01    0.80264E-06    0.27869E-22    0.90844E-06    0.74673E-22    0.61084E-07    0.12221E-07    0.48925E+02    0.47219E+02    0.45703E+02    0.51654E+02    0.17249E+03
   2017      2      4   12.00       816.00    0.00    0.44414E-02    0.38302E+00    0.40884E-01    0.19974E+00    0.10000E-19    0.73201E-07    0.00000E+00    0.48433E-07    0.46231E-07    0.00000E+00   -0.12389E-07    0.60113E-07    0.66954E+02    0.63910E+02    0.00000E+00   -0.17127E+02    0.83100E+02    0.18457E+01    0.63391E+02    0.18128E+02   -0.36326E+01   -0.36326E+01    0.76225E-06    0.28703E-22    0.83836E-06    0.72129E-22    0.61085E-07    0.11960E-07    0.61076E+02    0.59632E+02    0.56722E+02    0.63742E+02    0.20075E+03
   2017      2      5   12.00       840.00    0.00    0.43269E-02    0.39084E+00    0.40884E-01    0.19557E+00    0.10000E-19    0.74629E-07    0.00000E+00    0.43056E-07    0.41129E-07    0.00000E+00   -0.13379E-07    0.64049E-07    0.59520E+02    0.56857E+02    0.00000E+00   -0.18496E+02    0.88541E+02    0.56117E+01    0.57103E+02    0.17237E+02   -0.35141E+01   -0.35067E+01    0.85770E-06    0.29199E-22    0.97251E-06    0.71688E-22    0.61085E-07    0.11641E-07    0.55689E+02    0.54052E+02    0.52039E+02    0.51308E+02    0.19977E+03
