 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - the talik depth, m
 Col. 7 - lake surface methane concentration, mol/m**3
 Col. 8 - lake bottom methane concentration, mol/m**3
 Col. 9 - soil bottom methane concentration, mol/m**3
 Col. 10 - lake surface oxygen concentration, mol/m**3
 Col. 11 - lake bottom oxygen concentration, mol/m**3
 Col. 12 - total methane production due to young C decomposition, mol/(m**2*s)
 Col. 13 - total methane production due to old C decomposition, mol/(m**2*s)
 Col. 14 - methane ebullition flux averaged over the lake bottom, upwards, mol/(m**2*s)
 Col. 15 - methane ebullition flux at the surface, mol/(m**2*s)
 Col. 16 - methane plant-mediated flux at the lake bottom, mol/(m**2*s)
 Col. 17 - methane diffusion flux averaged over the lake bottom, upwards, mol/(m**2*s)
 Col. 18 - methane turbulent flux at the lake surface, upwards, mol/(m**2*s)
 Col. 19 - methane ebullition flux averaged over the lake bottom, upwards, mg/(m**2*day)
 Col. 20 - methane ebullition flux at the surface, mg/(m**2*day)
 Col. 21 - methane plant-mediated flux at the lake bottom, mg/(m**2*day)
 Col. 22 - methane diffusion flux averaged over lake bottom, upwards, mg/(m**2*day)
 Col. 23 - methane turbulent flux at the lake surface, upwards, mg/(m**2*day)
 Col. 24 - methane turbulent flux at the bottom of mixed layer normalized by  surface area, upwards, mg/(m**2*day)
 Col. 25 - methane flux from sediments in the mixed layer normalized by  surface area, upwards, mg/(m**2*day)
 Col. 26 - methane bubble flux at the bottom of the mixed layer normalized by  surface area, upwards, mg/(m**2*day)
 Col. 27 - total methane oxidation in water normalized by  surface area, mg/(m**2*day)
 Col. 28 - methane oxidation in mixed layer normalized by  surface area, mg/(m**2*day)
 Col. 29 - co2 turbulent flux at the lake surface, upwards, mol/(m**2*s)
 Col. 30 - co2 ebullition flux at the surface, mol/(m**2*s)
 Col. 31 - oxygen turbulent flux at the lake surface, upwards, mol/(m**2*s)
 Col. 32 - oxygen ebullition flux at the surface, mol/(m**2*s)
 Col. 33 - methane flux by inlets, normalized by surface area, mol/(m**2*s)
 Col. 34 - methane flux through outlet, normalized by surface area, mol/(m**2*s)
 Col. 35..35+ns-1 - methane ebullition flux at the surface from different soil columns, mg/(m**2*day)
   2003      1      2   12.00        24.00    0.00    0.31271E-01    0.25259E+00    0.86759E-01    0.12363E+00    0.13997E-03    0.14359E-04    0.00000E+00    0.11584E-05    0.10292E-05    0.00000E+00   -0.17369E-06    0.19851E-07    0.16014E+04    0.14228E+04    0.00000E+00   -0.24011E+03    0.27443E+02    0.14260E+02    0.81624E+03    0.83037E+03   -0.69505E+03   -0.55319E+03    0.71249E-07    0.67405E-16    0.15021E-06    0.26694E-17    0.00000E+00    0.00000E+00    0.18726E+04    0.15568E+04    0.11744E+04    0.90277E+03    0.25458E+04
   2003      1      3   12.00        48.00    0.00    0.14373E-01    0.95376E-01    0.86820E-01    0.27071E+00    0.74863E-03    0.14294E-04    0.00000E+00    0.57068E-05    0.50628E-05    0.00000E+00   -0.29652E-06    0.11757E-07    0.78891E+04    0.69988E+04    0.00000E+00   -0.40991E+03    0.16253E+02   -0.13193E+01    0.50940E+02    0.69614E+04   -0.84668E+03    0.00000E+00    0.54380E-07    0.12342E-21    0.39432E-07    0.79891E-24    0.00000E+00    0.00000E+00    0.85029E+04    0.75458E+04    0.63577E+04    0.52366E+04    0.95955E+04
   2003      1      4   12.00        72.00    0.00    0.98189E-02    0.11711E+00    0.86881E-01    0.25510E+00    0.38562E-03    0.14333E-04    0.00000E+00    0.79684E-05    0.70755E-05    0.00000E+00   -0.32830E-06    0.16247E-07    0.11016E+05    0.97811E+04    0.00000E+00   -0.45385E+03    0.22460E+02   -0.20638E+01    0.13694E+03    0.96717E+04   -0.48017E+03   -0.15144E+02    0.14546E-06    0.11693E-21    0.17453E-06    0.14084E-23    0.00000E+00    0.00000E+00    0.11270E+05    0.10297E+05    0.94548E+04    0.80700E+04    0.11021E+05
   2003      1      5   12.00        96.00    0.00    0.11757E-02    0.17310E+00    0.86942E-01    0.27272E+00    0.75132E-06    0.14455E-04    0.00000E+00    0.84350E-05    0.75133E-05    0.00000E+00   -0.37283E-06    0.11115E-07    0.11661E+05    0.10386E+05    0.00000E+00   -0.51539E+03    0.15365E+02    0.10693E+02    0.38245E+03    0.10064E+05   -0.87119E+02   -0.54037E+02    0.31601E-06    0.11390E-21    0.25818E-06    0.58916E-23    0.00000E+00    0.00000E+00    0.12105E+05    0.10640E+05    0.98150E+04    0.86752E+04    0.13286E+05
   2003      1      6   12.00       120.00    0.00    0.10866E-02    0.22791E+00    0.87003E-01    0.27332E+00    0.10000E-19    0.14610E-04    0.00000E+00    0.91198E-05    0.81998E-05    0.00000E+00   -0.38463E-06    0.11332E-07    0.12607E+05    0.11335E+05    0.00000E+00   -0.53171E+03    0.15666E+02    0.12208E+02    0.45195E+03    0.10945E+05   -0.94335E+02   -0.57732E+02    0.19256E-06    0.11246E-21    0.18936E-06    0.65236E-23    0.00000E+00    0.00000E+00    0.14330E+05    0.11603E+05    0.10165E+05    0.90264E+04    0.13609E+05
   2003      1      7   12.00       144.00    0.00    0.73888E-03    0.28584E+00    0.87064E-01    0.27313E+00    0.10000E-19    0.14792E-04    0.00000E+00    0.10286E-04    0.92917E-05    0.00000E+00   -0.39715E-06    0.87796E-08    0.14219E+05    0.12845E+05    0.00000E+00   -0.54902E+03    0.12137E+02    0.14847E+02    0.49815E+03    0.12415E+05   -0.11972E+03   -0.69260E+02    0.17535E-06    0.11105E-21    0.18124E-06    0.78254E-23    0.00000E+00    0.00000E+00    0.15800E+05    0.13174E+05    0.12159E+05    0.10270E+05    0.13957E+05
   2003      1      8   12.00       168.00    0.00    0.11172E-02    0.34768E+00    0.87125E-01    0.27052E+00    0.10000E-19    0.15000E-04    0.00000E+00    0.10808E-04    0.98002E-05    0.00000E+00   -0.41075E-06    0.89753E-08    0.14941E+05    0.13548E+05    0.00000E+00   -0.56782E+03    0.12408E+02    0.14868E+02    0.52936E+03    0.13089E+05   -0.11653E+03   -0.69858E+02    0.10399E-06    0.11007E-21    0.12077E-06    0.75467E-23    0.00000E+00    0.00000E+00    0.16785E+05    0.13557E+05    0.12631E+05    0.11324E+05    0.14355E+05
   2003      1      9   12.00       192.00    0.00    0.82639E-02    0.41000E+00    0.87186E-01    0.26275E+00    0.10000E-19    0.15241E-04    0.00000E+00    0.11197E-04    0.10207E-04    0.00000E+00   -0.42548E-06    0.87013E-08    0.15479E+05    0.14110E+05    0.00000E+00   -0.58819E+03    0.12029E+02    0.29064E+02    0.10103E+04    0.13223E+05   -0.10658E+03   -0.10589E+03    0.11204E-07    0.10955E-21    0.15602E-07    0.53778E-23    0.00000E+00    0.00000E+00    0.17792E+05    0.13964E+05    0.13055E+05    0.11763E+05    0.14793E+05
   2003      1     10   12.00       216.00    0.00    0.71088E-02    0.47419E+00    0.87247E-01    0.23723E+00    0.10000E-19    0.15514E-04    0.00000E+00    0.11601E-04    0.10630E-04    0.00000E+00   -0.44145E-06    0.16899E-07    0.16037E+05    0.14695E+05    0.00000E+00   -0.61026E+03    0.23361E+02    0.31473E+02    0.10756E+04    0.13747E+05   -0.11337E+03   -0.11328E+03    0.11823E-06    0.10896E-21    0.26810E-06    0.41724E-23    0.00000E+00    0.00000E+00    0.18827E+05    0.14389E+05    0.13499E+05    0.12225E+05    0.15265E+05
   2003      1     11   12.00       240.00    0.00    0.10286E-02    0.54017E+00    0.87308E-01    0.25066E+00    0.10000E-19    0.15812E-04    0.00000E+00    0.12044E-04    0.11092E-04    0.00000E+00   -0.44665E-06    0.93103E-08    0.16650E+05    0.15334E+05    0.00000E+00   -0.61745E+03    0.12871E+02    0.36766E+02    0.11387E+04    0.14326E+05   -0.15340E+03   -0.15320E+03    0.18523E-06    0.10774E-21    0.25582E-06    0.71751E-23    0.00000E+00    0.00000E+00    0.19928E+05    0.14907E+05    0.13973E+05    0.12716E+05    0.15772E+05
