 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2017      1      2   12.00        24.00   0.29253E+02   0.00000E+00   0.29253E+02   0.28812E+02   0.29306E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.67932E+01   0.53937E+02  -0.12635E+03  -0.11058E+03   0.99041E-03   0.30200E-09   0.51334E-05       0.31     296.55     0.0000  0.00   0.92743E-01   0.55502E+00    29.3011    29.0208    28.2220    25.9517    24.3013
   2017      1      3   12.00        48.00   0.29273E+02   0.00000E+00   0.29273E+02   0.28367E+02   0.29322E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.63155E+01   0.51069E+02  -0.11918E+03  -0.75709E+02   0.10098E-02   0.24427E-38   0.56994E-05       0.31     287.85     0.0000  0.00   0.86076E-01  -0.49272E+00    29.3179    28.7380    27.1074    23.4774    21.4922
   2017      1      4   12.00        72.00   0.29345E+02   0.00000E+00   0.29345E+02   0.28229E+02   0.29406E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.87362E+01   0.53121E+02  -0.12600E+03  -0.60737E+02   0.10293E-02   0.10002E-36   0.66885E-05       0.31     248.64     0.0000  0.00   0.21912E-01  -0.11981E+01    29.4003    28.7422    26.5648    22.3761    20.4612
   2017      1      5   12.00        96.00   0.29075E+02   0.00000E+00   0.29075E+02   0.27966E+02   0.29136E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.86094E+01   0.52414E+02  -0.12564E+03  -0.53632E+02   0.89550E-03   0.27385E-35   0.34383E-05       0.31     254.25     0.0000  0.00  -0.72378E-01  -0.32225E+00    29.1308    28.6788    26.1797    21.6445    19.8340
   2017      1      6   12.00       120.00   0.29343E+02   0.00000E+00   0.29343E+02   0.28062E+02   0.29398E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.84333E+01   0.52582E+02  -0.12238E+03  -0.49150E+02   0.81323E-03   0.18925E-36   0.28169E-05       0.31     285.69     0.0000  0.00  -0.43452E-01   0.46462E+00    29.3938    28.8522    25.9686    21.1820    19.5047
   2017      1      7   12.00       144.00   0.29700E+02   0.00000E+00   0.29700E+02   0.28243E+02   0.29758E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.84770E+01   0.54728E+02  -0.12436E+03  -0.45481E+02   0.75429E-03   0.78683E-37   0.20926E-05       0.31     288.06     0.0000  0.00   0.32476E-01   0.60950E+00    29.7533    29.0939    25.8286    20.8381    19.2807
   2017      1      8   12.00       168.00   0.30069E+02   0.00000E+00   0.30069E+02   0.28458E+02   0.30129E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.76627E+01   0.57040E+02  -0.12704E+03  -0.42363E+02   0.75292E-03   0.83342E-37   0.17703E-05       0.31     284.90     0.0000  0.00   0.56174E-01   0.13901E+00    30.1244    29.3717    25.7480    20.5891    19.1399
   2017      1      9   12.00       192.00   0.30300E+02   0.00000E+00   0.30300E+02   0.28610E+02   0.30364E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.77322E+01   0.63516E+02  -0.14004E+03  -0.40105E+02   0.89960E-03   0.86586E-36   0.30416E-05       0.31     291.33     0.0000  0.00   0.72648E-01  -0.42296E+00    30.3583    29.6151    25.6935    20.3917    19.0293
   2017      1     10   12.00       216.00   0.30402E+02   0.00000E+00   0.30402E+02   0.28717E+02   0.30472E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.87886E+01   0.70959E+02  -0.15632E+03  -0.37992E+02   0.11502E-02   0.29094E-34   0.90316E-05       0.31     299.47     0.0000  0.00   0.65009E-01  -0.12861E+01    30.4654    29.8466    25.7001    20.2738    18.9955
   2017      1     11   12.00       240.00   0.30358E+02   0.00000E+00   0.30358E+02   0.28738E+02   0.30439E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.96700E+01   0.68858E+02  -0.15044E+03  -0.35816E+02   0.71291E-03   0.71393E-34   0.34989E-05       0.31     279.32     0.0000  0.00   0.11623E-01  -0.53146E+00    30.4320    29.9851    25.7202    20.1750    18.9481
   2017      1     12   12.00       264.00   0.30267E+02   0.00000E+00   0.30267E+02   0.28709E+02   0.30347E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11497E+02   0.68036E+02  -0.14635E+03  -0.33783E+02   0.72068E-03   0.82598E-33   0.15449E-05       0.31     249.35     0.0000  0.00  -0.41072E-01  -0.12397E+00    30.3395    30.0412    25.7418    20.0808    18.8792
   2017      1     13   12.00       288.00   0.30014E+02   0.00000E+00   0.30014E+02   0.28561E+02   0.30090E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12579E+02   0.67019E+02  -0.14609E+03  -0.32736E+02   0.88912E-03   0.13635E-31   0.31724E-05       0.31     250.55     0.0000  0.00   0.26595E-02  -0.81207E+00    30.0823    29.9460    25.7627    19.9860    18.7959
   2017      1     14   12.00       312.00   0.29862E+02   0.00000E+00   0.29862E+02   0.28476E+02   0.29934E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12743E+02   0.65262E+02  -0.14535E+03  -0.30883E+02   0.12103E-02   0.21387E-30   0.92751E-05       0.31     225.14     0.0000  0.00   0.99585E-01  -0.11647E+01    29.9260    29.8689    25.8230    19.9285    18.7576
   2017      1     15   12.00       336.00   0.29423E+02   0.00000E+00   0.29423E+02   0.28164E+02   0.29490E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11753E+02   0.59267E+02  -0.13398E+03  -0.29845E+02   0.13734E-02   0.34812E-29   0.14863E-04       0.30     203.91     0.0000  0.00   0.10131E+00  -0.17077E+01    29.4825    29.4848    25.8467    19.8112    18.6374
   2017      1     16   12.00       360.00   0.29266E+02   0.00000E+00   0.29266E+02   0.28055E+02   0.29337E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10985E+02   0.58092E+02  -0.12911E+03  -0.29152E+02   0.87013E-03   0.16074E-29   0.43792E-05       0.30     219.90     0.0000  0.00   0.26041E-01  -0.89222E+00    29.3299    29.3350    25.8762    19.7500    18.5991
   2017      1     17   12.00       384.00   0.29113E+02   0.00000E+00   0.29113E+02   0.27948E+02   0.29191E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10608E+02   0.57216E+02  -0.12687E+03  -0.28111E+02   0.59615E-03   0.20043E-29   0.82329E-06       0.30     207.96     0.0000  0.00  -0.21583E-01  -0.34372E+00    29.1832    29.1899    25.8967    19.6914    18.5524
   2017      1     18   12.00       408.00   0.28848E+02   0.00000E+00   0.28848E+02   0.27752E+02   0.28921E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13025E+02   0.56750E+02  -0.12641E+03  -0.26624E+02   0.10631E-02   0.78224E-28   0.68068E-05       0.30     167.18     0.0000  0.00  -0.28058E-01  -0.11979E+01    28.9129    28.9207    25.9296    19.6367    18.4785
   2017      1     19   12.00       432.00   0.28260E+02   0.00000E+00   0.28260E+02   0.27318E+02   0.28328E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.14884E+02   0.54311E+02  -0.12194E+03  -0.26014E+02   0.15718E-02   0.44802E-26   0.26391E-04       0.30     142.91     0.0000  0.00  -0.43470E-01  -0.26260E+01    28.3191    28.3275    25.9704    19.5867    18.3248
