 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - the talik depth, m
 Col. 7 - lake surface methane concentration, mol/m**3
 Col. 8 - lake bottom methane concentration, mol/m**3
 Col. 9 - soil bottom methane concentration, mol/m**3
 Col. 10 - lake surface oxygen concentration, mol/m**3
 Col. 11 - lake bottom oxygen concentration, mol/m**3
 Col. 12 - total methane production due to young C decomposition, mol/(m**2*s)
 Col. 13 - total methane production due to old C decomposition, mol/(m**2*s)
 Col. 14 - methane ebullition flux averaged over the lake bottom, upwards, mol/(m**2*s)
 Col. 15 - methane ebullition flux at the surface, mol/(m**2*s)
 Col. 16 - methane plant-mediated flux at the lake bottom, mol/(m**2*s)
 Col. 17 - methane diffusion flux averaged over the lake bottom, upwards, mol/(m**2*s)
 Col. 18 - methane turbulent flux at the lake surface, upwards, mol/(m**2*s)
 Col. 19 - methane ebullition flux averaged over the lake bottom, upwards, mg/(m**2*day)
 Col. 20 - methane ebullition flux at the surface, mg/(m**2*day)
 Col. 21 - methane plant-mediated flux at the lake bottom, mg/(m**2*day)
 Col. 22 - methane diffusion flux averaged over lake bottom, upwards, mg/(m**2*day)
 Col. 23 - methane turbulent flux at the lake surface, upwards, mg/(m**2*day)
 Col. 24 - methane turbulent flux at the bottom of mixed layer normalized by  surface area, upwards, mg/(m**2*day)
 Col. 25 - methane flux from sediments in the mixed layer normalized by  surface area, upwards, mg/(m**2*day)
 Col. 26 - methane bubble flux at the bottom of the mixed layer normalized by  surface area, upwards, mg/(m**2*day)
 Col. 27 - total methane oxidation in water normalized by  surface area, mg/(m**2*day)
 Col. 28 - methane oxidation in mixed layer normalized by  surface area, mg/(m**2*day)
 Col. 29 - co2 turbulent flux at the lake surface, upwards, mol/(m**2*s)
 Col. 30 - co2 ebullition flux at the surface, mol/(m**2*s)
 Col. 31 - oxygen turbulent flux at the lake surface, upwards, mol/(m**2*s)
 Col. 32 - oxygen ebullition flux at the surface, mol/(m**2*s)
 Col. 33 - methane flux by inlets, normalized by surface area, mol/(m**2*s)
 Col. 34 - methane flux through outlet, normalized by surface area, mol/(m**2*s)
 Col. 35..35+ns-1 - methane ebullition flux at the surface from different soil columns, mg/(m**2*day)
   2021      7      2   12.00        24.00    0.00    0.68728E-03    0.44879E-03    0.84797E-01    0.30420E+00    0.28788E+00    0.12259E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.47792E-08    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.66068E+01    0.00000E+00    0.48536E+00    0.66426E+01    0.00000E+00   -0.14272E+01   -0.14269E+01    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2021      7      3   12.00        48.00    0.00    0.61867E-03    0.38998E-03    0.84797E-01    0.28294E+00    0.20888E+00    0.98857E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.17710E-08    0.32123E-08    0.00000E+00    0.00000E+00    0.00000E+00   -0.24482E+01    0.44407E+01   -0.37590E+00    0.26809E+01    0.00000E+00   -0.13404E+01   -0.13404E+01    0.18568E-07    0.00000E+00    0.90615E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2021      7      4   12.00        72.00    0.00    0.17402E-03    0.10000E-19    0.84796E-01    0.39537E+00    0.21355E+00    0.89884E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.22391E-08    0.21690E-08    0.00000E+00    0.00000E+00    0.00000E+00   -0.30953E+01    0.29984E+01   -0.17842E+00    0.30901E+01    0.00000E+00   -0.46845E+00   -0.46845E+00    0.11568E-06    0.00000E+00    0.47610E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2021      7      5   12.00        96.00    0.00    0.14625E-03    0.15588E-04    0.84796E-01    0.39484E+00    0.29911E+00    0.85205E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.25990E-08    0.28479E-08    0.00000E+00    0.00000E+00    0.00000E+00   -0.35929E+01    0.39370E+01   -0.38913E+00    0.37694E+01    0.00000E+00   -0.43849E+00   -0.43849E+00    0.31165E-06    0.00000E+00    0.27224E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2021      7      6   12.00       120.00    0.00    0.84420E-04    0.73612E-05    0.84796E-01    0.38422E+00    0.26515E+00    0.85919E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.34438E-08    0.33516E-08    0.00000E+00    0.00000E+00    0.00000E+00   -0.47607E+01    0.46333E+01    0.33340E+00    0.46992E+01    0.00000E+00   -0.24574E+00   -0.24574E+00    0.41329E-06    0.00000E+00    0.15669E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2021      7      7   12.00       144.00    0.00    0.98328E-04    0.16769E-04    0.84796E-01    0.35682E+00    0.34850E+00    0.94522E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.43148E-08    0.34649E-08    0.00000E+00    0.00000E+00    0.00000E+00   -0.59648E+01    0.47899E+01    0.27054E+00    0.60103E+01    0.00000E+00   -0.26310E+00   -0.26310E+00    0.39649E-06    0.00000E+00    0.31234E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2021      7      8   12.00       168.00    0.00    0.12361E-03    0.27633E-04    0.84796E-01    0.35841E+00    0.35134E+00    0.99479E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.50780E-08    0.44791E-08    0.00000E+00    0.00000E+00    0.00000E+00   -0.70199E+01    0.61919E+01    0.48964E+00    0.70811E+01    0.00000E+00   -0.34248E+00   -0.34248E+00    0.25339E-06    0.00000E+00    0.14226E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2021      7      9   12.00       192.00    0.00    0.17176E-03    0.97193E-05    0.84795E-01    0.38559E+00    0.38375E+00    0.99427E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.56053E-08    0.46090E-08    0.00000E+00    0.00000E+00    0.00000E+00   -0.77488E+01    0.63715E+01   -0.37183E+00    0.78306E+01    0.00000E+00   -0.43041E+00   -0.43041E+00   -0.28003E-06    0.00000E+00   -0.54434E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2021      7     10   12.00       216.00    0.00    0.17463E-03    0.23468E-04    0.84795E-01    0.38137E+00    0.37974E+00    0.99031E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.61974E-08    0.54957E-08    0.00000E+00    0.00000E+00    0.00000E+00   -0.85672E+01    0.75973E+01   -0.29420E+00    0.86436E+01    0.00000E+00   -0.45333E+00   -0.45333E+00   -0.49490E-06    0.00000E+00   -0.47587E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2021      7     11   12.00       240.00    0.00    0.19765E-03    0.33421E-04    0.84795E-01    0.34454E+00    0.33469E+00    0.10088E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.69546E-08    0.56130E-08    0.00000E+00    0.00000E+00    0.00000E+00   -0.96140E+01    0.77594E+01   -0.21481E+00    0.96892E+01    0.00000E+00   -0.49511E+00   -0.49511E+00    0.19226E-06    0.00000E+00    0.48847E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
