 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2021      7      2   12.00        24.00   0.18081E+02   0.00000E+00   0.18081E+02   0.18019E+02   0.18176E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.21116E+02   0.59959E+02  -0.13478E+03  -0.20331E+03   0.27421E-02   0.31965E-09   0.44479E-03       0.16     220.30     0.0000  0.00   0.33863E-01  -0.29720E+00    18.1615    18.0649    17.7947    15.5370    13.9039
   2021      7      3   12.00        48.00   0.16284E+02   0.00000E+00   0.16284E+02   0.16479E+02   0.16545E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.38665E+02   0.81305E+02  -0.17854E+03  -0.95583E+02   0.45142E-02   0.19526E-05   0.18101E-02       0.16     156.07     0.0000  0.00   0.81961E-01  -0.50500E+00    16.4803    16.5134    16.5201    16.4181    16.4016
   2021      7      4   12.00        72.00   0.13018E+02   0.00000E+00   0.13018E+02   0.13100E+02   0.13139E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.15929E+02   0.24660E+02  -0.80255E+02  -0.67946E+02   0.25314E-02   0.12421E-05   0.23759E-03       0.16      37.51     0.0000  0.00   0.27987E-01   0.59673E-01    13.0995    13.1147    13.1190    13.1213    13.1382
   2021      7      5   12.00        96.00   0.12090E+02   0.00000E+00   0.12090E+02   0.12167E+02   0.12216E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12430E+02   0.19179E+02  -0.59123E+02  -0.67167E+02   0.34127E-02   0.83307E-06   0.13734E-02       0.16      62.86     0.0000  0.00   0.27111E-01   0.14289E+01    12.1624    12.1830    12.1878    12.1905    12.2154
   2021      7      6   12.00       120.00   0.11706E+02   0.00000E+00   0.11706E+02   0.11782E+02   0.11841E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.15542E+02   0.31591E+02  -0.71014E+02  -0.93845E+02   0.67424E-02   0.46762E-05   0.16025E-01       0.16     132.09     0.0000  0.00   0.11781E+00   0.52132E+01    11.7760    11.7959    11.8029    11.8079    11.8374
   2021      7      7   12.00       144.00   0.12820E+02   0.00000E+00   0.12820E+02   0.12925E+02   0.12989E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.22623E+02   0.46131E+02  -0.10603E+03  -0.10662E+03   0.54202E-02   0.42596E-05   0.83115E-02       0.16     188.92     0.0000  0.00   0.18280E-01   0.36923E+01    12.9194    12.9436    12.9507    12.9567    12.9830
   2021      7      8   12.00       168.00   0.12589E+02   0.00000E+00   0.12589E+02   0.12732E+02   0.12805E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.28451E+02   0.47045E+02  -0.11390E+03  -0.84385E+02   0.55362E-02   0.28483E-05   0.65819E-02       0.16     123.20     0.0000  0.00  -0.64943E-01   0.34596E+01    12.7226    12.7626    12.7716    12.7774    12.7977
   2021      7      9   12.00       192.00   0.11803E+02   0.00000E+00   0.11803E+02   0.11883E+02   0.11929E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13846E+02   0.21331E+02  -0.62517E+02  -0.58189E+02   0.39136E-02   0.10948E-05   0.19743E-02       0.16      68.90     0.0000  0.00   0.32774E-01   0.11932E+01    11.8771    11.9006    11.9060    11.9095    11.9274
   2021      7     10   12.00       216.00   0.11575E+02   0.00000E+00   0.11575E+02   0.11631E+02   0.11680E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.25189E+01   0.18396E+02  -0.50478E+02  -0.60465E+02   0.47678E-02   0.98806E-06   0.37227E-02       0.16      85.89     0.0000  0.00   0.45270E-01  -0.23018E+01    11.6259    11.6441    11.6491    11.6527    11.6800
   2021      7     11   12.00       240.00   0.12108E+02   0.00000E+00   0.12108E+02   0.12158E+02   0.12201E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.72969E+00   0.19744E+02  -0.54577E+02  -0.62195E+02   0.39620E-02   0.11041E-05   0.27471E-02       0.16     108.45     0.0000  0.00   0.82253E-02  -0.22150E+01    12.1535    12.1674    12.1717    12.1751    12.2004
   2021      7     12   12.00       264.00   0.13019E+02   0.00000E+00   0.13019E+02   0.13038E+02   0.13072E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.45781E+00   0.11796E+02  -0.54345E+02  -0.73064E+02   0.16089E-02   0.12008E-06   0.39182E-04       0.16     153.05     0.0000  0.00   0.73869E-02   0.41261E-01    13.0382    13.0387    13.0402    13.0433    13.0718
   2021      7     13   12.00       288.00   0.14898E+02   0.00000E+00   0.14898E+02   0.14949E+02   0.14993E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.66143E+01   0.28195E+02  -0.10431E+03  -0.10411E+03   0.25605E-02   0.10092E-05   0.21196E-03       0.16     241.02     0.0000  0.00  -0.14119E-01   0.62933E+00    14.9480    14.9575    14.9606    14.9653    14.9898
   2021      7     14   12.00       312.00   0.16413E+02   0.00000E+00   0.16413E+02   0.16505E+02   0.16555E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.18120E+02   0.40947E+02  -0.12820E+03  -0.97166E+02   0.29238E-02   0.17616E-05   0.44673E-03       0.16     229.78     0.0000  0.00  -0.27316E-02   0.93171E+00    16.5032    16.5193    16.5235    16.5284    16.5498
   2021      7     15   12.00       336.00   0.16901E+02   0.00000E+00   0.16901E+02   0.16965E+02   0.17001E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.14444E+02   0.35480E+02  -0.99954E+02  -0.72330E+02   0.20845E-02   0.11891E-05   0.22475E-03       0.16     172.02     0.0000  0.00  -0.44012E-02   0.20682E+00    16.9640    16.9747    16.9781    16.9816    16.9972
   2021      7     16   12.00       360.00   0.17284E+02   0.00000E+00   0.17284E+02   0.17346E+02   0.17385E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.17123E+02   0.39745E+02  -0.11294E+03  -0.82690E+02   0.18104E-02   0.11251E-05   0.13933E-03       0.16     187.88     0.0000  0.00  -0.15433E-02  -0.26573E-01    17.3447    17.3545    17.3582    17.3624    17.3799
   2021      7     17   12.00       384.00   0.17577E+02   0.00000E+00   0.17577E+02   0.17670E+02   0.17724E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.18958E+02   0.48415E+02  -0.12467E+03  -0.85798E+02   0.28465E-02   0.16543E-05   0.36932E-03       0.16     188.22     0.0000  0.00   0.66746E-02   0.83615E+00    17.6696    17.6851    17.6896    17.6952    17.7164
   2021      7     18   12.00       408.00   0.17924E+02   0.00000E+00   0.17924E+02   0.18025E+02   0.18080E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.86904E+01   0.47041E+02  -0.11921E+03  -0.98914E+02   0.31954E-02   0.17425E-05   0.70409E-03       0.16     221.82     0.0000  0.00  -0.11376E-01   0.12606E+01    18.0229    18.0414    18.0458    18.0512    18.0737
   2021      7     19   12.00       432.00   0.19237E+02   0.00000E+00   0.19237E+02   0.19388E+02   0.19461E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.14490E+02   0.60819E+02  -0.15413E+03  -0.10819E+03   0.37443E-02   0.24100E-05   0.15901E-02       0.16     254.84     0.0000  0.00   0.17490E-01   0.18480E+01    19.3852    19.4098    19.4160    19.4233    19.4501
   2021      7     20   12.00       456.00   0.18386E+02   0.00000E+00   0.18386E+02   0.18678E+02   0.18784E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.37647E+02   0.85617E+02  -0.17814E+03  -0.83968E+02   0.57020E-02   0.52147E-05   0.93765E-02       0.17     151.36     0.0000  0.00   0.16142E-01   0.45965E+01    18.6721    18.7211    18.7323    18.7409    18.7611
   2021      7     21   12.00       480.00   0.16280E+02   0.00000E+00   0.16280E+02   0.16392E+02   0.16441E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.20240E+02   0.39933E+02  -0.93068E+02  -0.56568E+02   0.27684E-02   0.24770E-05   0.25922E-02       0.17      70.26     0.0000  0.00  -0.40639E-02   0.14662E+01    16.3892    16.4101    16.4158    16.4203    16.4327
   2021      7     22   12.00       504.00   0.15425E+02   0.00000E+00   0.15425E+02   0.15538E+02   0.15587E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.18389E+02   0.40483E+02  -0.95419E+02  -0.61780E+02   0.32132E-02   0.18502E-05   0.77807E-03       0.17      85.86     0.0000  0.00   0.18651E-01  -0.11844E+01    15.5355    15.5574    15.5629    15.5676    15.5821
   2021      7     23   12.00       528.00   0.14403E+02   0.00000E+00   0.14403E+02   0.14529E+02   0.14592E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.22109E+02   0.46682E+02  -0.11477E+03  -0.81435E+02   0.34294E-02   0.18723E-05   0.85406E-03       0.17     112.97     0.0000  0.00   0.36754E-01  -0.10179E+01    14.5265    14.5506    14.5569    14.5634    14.5836
   2021      7     24   12.00       552.00   0.14196E+02   0.00000E+00   0.14196E+02   0.14251E+02   0.14294E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13835E+02   0.28354E+02  -0.89931E+02  -0.78786E+02   0.14515E-02   0.82564E-06   0.27477E-04       0.17     126.93     0.0000  0.00   0.85539E-02  -0.14581E+00    14.2503    14.2590    14.2630    14.2682    14.2882
   2021      7     25   12.00       576.00   0.14607E+02   0.00000E+00   0.14607E+02   0.14663E+02   0.14697E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12619E+02   0.27153E+02  -0.79569E+02  -0.67352E+02   0.16007E-02   0.79977E-06   0.13927E-03       0.17     124.23     0.0000  0.00   0.63877E-02   0.37516E+00    14.6616    14.6715    14.6751    14.6788    14.6936
   2021      7     26   12.00       600.00   0.14482E+02   0.00000E+00   0.14482E+02   0.14616E+02   0.14677E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.22085E+02   0.50877E+02  -0.10371E+03  -0.74766E+02   0.51717E-02   0.27717E-05   0.53407E-02       0.17     128.90     0.0000  0.00   0.88812E-01   0.23763E+01    14.6091    14.6396    14.6470    14.6528    14.6701
   2021      7     27   12.00       624.00   0.13956E+02   0.00000E+00   0.13956E+02   0.14117E+02   0.14192E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.25243E+02   0.59289E+02  -0.10617E+03  -0.67000E+02   0.89366E-02   0.14087E-04   0.37545E-01       0.17      99.36     0.0000  0.00   0.30960E+00   0.43269E+01    14.1108    14.1472    14.1573    14.1638    14.1817
   2021      7     28   12.00       648.00   0.12954E+02   0.00000E+00   0.12954E+02   0.13078E+02   0.13130E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.15607E+02   0.40254E+02  -0.69152E+02  -0.50424E+02   0.12118E-01   0.71110E-04   0.11110E+00       0.17      57.65     0.0000  0.00   0.59362E+00   0.47409E+01    13.0775    13.0960    13.1031    13.1087    13.1247
   2021      7     29   12.00       672.00   0.12584E+02   0.00000E+00   0.12584E+02   0.12655E+02   0.12693E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11519E+02   0.26387E+02  -0.47944E+02  -0.41298E+02   0.10852E-01   0.44780E-04   0.77051E-01       0.17      50.30     0.0000  0.00   0.48868E+00   0.34528E+01    12.6537    12.6661    12.6715    12.6757    12.6903
   2021      7     30   12.00       696.00   0.12528E+02   0.00000E+00   0.12528E+02   0.12557E+02   0.12586E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.77984E+01   0.13635E+02  -0.28244E+02  -0.34423E+02   0.81867E-02   0.39245E-05   0.22788E-01       0.17      49.92     0.0000  0.00   0.26881E+00   0.18567E+01    12.5548    12.5634    12.5671    12.5699    12.5853
   2021      7     31   12.00       720.00   0.12848E+02   0.00000E+00   0.12848E+02   0.12887E+02   0.12916E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.82674E+01   0.18513E+02  -0.34555E+02  -0.33767E+02   0.91725E-02   0.92825E-05   0.36751E-01       0.17      59.24     0.0000  0.00   0.33780E+00   0.26306E+01    12.8850    12.8936    12.8974    12.9003    12.9152
