 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - the talik depth, m
 Col. 7 - lake surface methane concentration, mol/m**3
 Col. 8 - lake bottom methane concentration, mol/m**3
 Col. 9 - soil bottom methane concentration, mol/m**3
 Col. 10 - lake surface oxygen concentration, mol/m**3
 Col. 11 - lake bottom oxygen concentration, mol/m**3
 Col. 12 - total methane production due to young C decomposition, mol/(m**2*s)
 Col. 13 - total methane production due to old C decomposition, mol/(m**2*s)
 Col. 14 - methane ebullition flux averaged over the lake bottom, upwards, mol/(m**2*s)
 Col. 15 - methane ebullition flux at the surface, mol/(m**2*s)
 Col. 16 - methane plant-mediated flux at the lake bottom, mol/(m**2*s)
 Col. 17 - methane diffusion flux averaged over the lake bottom, upwards, mol/(m**2*s)
 Col. 18 - methane turbulent flux at the lake surface, upwards, mol/(m**2*s)
 Col. 19 - methane ebullition flux averaged over the lake bottom, upwards, mg/(m**2*day)
 Col. 20 - methane ebullition flux at the surface, mg/(m**2*day)
 Col. 21 - methane plant-mediated flux at the lake bottom, mg/(m**2*day)
 Col. 22 - methane diffusion flux averaged over lake bottom, upwards, mg/(m**2*day)
 Col. 23 - methane turbulent flux at the lake surface, upwards, mg/(m**2*day)
 Col. 24 - methane turbulent flux at the bottom of mixed layer normalized by  surface area, upwards, mg/(m**2*day)
 Col. 25 - methane flux from sediments in the mixed layer normalized by  surface area, upwards, mg/(m**2*day)
 Col. 26 - methane bubble flux at the bottom of the mixed layer normalized by  surface area, upwards, mg/(m**2*day)
 Col. 27 - total methane oxidation in water normalized by  surface area, mg/(m**2*day)
 Col. 28 - methane oxidation in mixed layer normalized by  surface area, mg/(m**2*day)
 Col. 29 - co2 turbulent flux at the lake surface, upwards, mol/(m**2*s)
 Col. 30 - co2 ebullition flux at the surface, mol/(m**2*s)
 Col. 31 - oxygen turbulent flux at the lake surface, upwards, mol/(m**2*s)
 Col. 32 - oxygen ebullition flux at the surface, mol/(m**2*s)
 Col. 33 - methane flux by inlets, normalized by surface area, mol/(m**2*s)
 Col. 34 - methane flux through outlet, normalized by surface area, mol/(m**2*s)
 Col. 35..35+ns-1 - methane ebullition flux at the surface from different soil columns, mg/(m**2*day)
   2021      7      2   12.00        24.00    0.00    0.57970E-03    0.34032E-02    0.85818E-01    0.21835E+00    0.77856E-02    0.99374E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.66048E-08    0.10818E-07    0.00000E+00    0.00000E+00    0.00000E+00   -0.91305E+01    0.14954E+02   -0.59046E-01    0.83367E+01    0.00000E+00   -0.17551E+01   -0.17542E+01    0.10303E-05    0.00000E+00    0.25042E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2021      7      3   12.00        48.00    0.00    0.16089E-03    0.10604E-02    0.85818E-01    0.21570E+00    0.13924E+00    0.97256E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.35894E-08    0.48668E-08    0.00000E+00    0.00000E+00    0.00000E+00   -0.49620E+01    0.67278E+01    0.15071E+01    0.50836E+01    0.00000E+00   -0.47499E+00   -0.47499E+00    0.27421E-05    0.00000E+00    0.36821E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2021      7      4   12.00        72.00    0.00    0.14319E-03    0.10767E-04    0.85818E-01    0.22893E+00    0.20428E+00    0.88921E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.37252E-08    0.24462E-08    0.00000E+00    0.00000E+00    0.00000E+00   -0.51498E+01    0.33816E+01   -0.10468E+00    0.52785E+01    0.00000E+00   -0.38404E+00   -0.38404E+00    0.19716E-05    0.00000E+00    0.23509E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2021      7      5   12.00        96.00    0.00    0.15606E-03    0.18005E-05    0.85818E-01    0.27605E+00    0.24391E+00    0.82766E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.41489E-08    0.35266E-08    0.00000E+00    0.00000E+00    0.00000E+00   -0.57355E+01    0.48752E+01   -0.51270E+00    0.57432E+01    0.00000E+00   -0.45969E+00   -0.45969E+00    0.22608E-05    0.00000E+00    0.19403E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2021      7      6   12.00       120.00    0.00    0.10365E-03    0.53207E-05    0.85817E-01    0.33765E+00    0.31338E+00    0.78933E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.45350E-08    0.39375E-08    0.00000E+00    0.00000E+00    0.00000E+00   -0.62691E+01    0.54432E+01   -0.12264E+00    0.61942E+01    0.00000E+00   -0.35651E+00   -0.35651E+00    0.18714E-05    0.00000E+00    0.94852E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2021      7      7   12.00       144.00    0.00    0.11897E-03    0.14599E-04    0.85817E-01    0.33112E+00    0.31184E+00    0.79008E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.50313E-08    0.37421E-08    0.00000E+00    0.00000E+00    0.00000E+00   -0.69553E+01    0.51731E+01    0.94362E-01    0.69859E+01    0.00000E+00   -0.38079E+00   -0.38079E+00    0.10164E-05    0.00000E+00    0.76858E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2021      7      8   12.00       168.00    0.00    0.13860E-03    0.22995E-04    0.85817E-01    0.35594E+00    0.34551E+00    0.78712E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.54287E-08    0.44879E-08    0.00000E+00    0.00000E+00    0.00000E+00   -0.75047E+01    0.62041E+01    0.34970E+00    0.75342E+01    0.00000E+00   -0.44096E+00   -0.44096E+00    0.30184E-06    0.00000E+00   -0.56033E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2021      7      9   12.00       192.00    0.00    0.17162E-03    0.17241E-04    0.85817E-01    0.30141E+00    0.27465E+00    0.76287E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.57447E-08    0.43519E-08    0.00000E+00    0.00000E+00    0.00000E+00   -0.79415E+01    0.60160E+01   -0.34350E+00    0.78945E+01    0.00000E+00   -0.52044E+00   -0.52044E+00    0.89190E-06    0.00000E+00    0.15952E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2021      7     10   12.00       216.00    0.00    0.18153E-03    0.44494E-06    0.85817E-01    0.29749E+00    0.26110E+00    0.74329E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.61668E-08    0.50309E-08    0.00000E+00    0.00000E+00    0.00000E+00   -0.85250E+01    0.69547E+01   -0.59276E+00    0.82858E+01    0.00000E+00   -0.56962E+00   -0.56962E+00    0.16220E-05    0.00000E+00    0.19347E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2021      7     11   12.00       240.00    0.00    0.18776E-03    0.52868E-05    0.85816E-01    0.29449E+00    0.26095E+00    0.74132E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.65542E-08    0.48373E-08    0.00000E+00    0.00000E+00    0.00000E+00   -0.90606E+01    0.66871E+01   -0.56396E+00    0.88442E+01    0.00000E+00   -0.58050E+00   -0.58050E+00    0.16710E-05    0.00000E+00    0.17741E-05    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
