 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2003      1      2   12.00        24.00  -0.50695E+01   0.00000E+00  -0.10267E-03   0.38802E+00   0.55059E+00   0.00000E+00  -0.50694E+01   0.00000E+00   0.19632E+03   0.67749E+02  -0.39249E+03  -0.14017E+03   0.83387E-02   0.13546E-03   0.12772E-01       0.40       0.00     0.0000  0.00  -0.86509E+00  -0.12204E+02     0.2144     0.4257     0.5081     0.5222     0.5490
   2003      1      3   12.00        48.00  -0.12353E+02   0.00000E+00  -0.91386E-08   0.85555E-02   0.56519E+00   0.00000E+00  -0.12353E+02   0.00000E+00   0.15068E+03   0.31443E+02  -0.31090E+03  -0.31884E+02   0.88841E-02   0.92924E-05   0.14704E-02       0.40       0.00     0.0000  0.00  -0.12757E+00  -0.14573E+01     0.0037     0.0058     0.0140     0.0464     0.5652
   2003      1      4   12.00        72.00  -0.14780E+02   0.00000E+00  -0.24612E-07   0.19787E-01   0.14044E+01   0.00000E+00  -0.14780E+02   0.00000E+00   0.10683E+03   0.18013E+02  -0.25363E+03  -0.17126E+02   0.79639E-02   0.19133E-23   0.57794E-09       0.40       0.00     0.0000  0.00  -0.14247E-06   0.14962E-05     0.0046     0.0079     0.0350     0.1758     1.4044
   2003      1      5   12.00        96.00  -0.15120E+02   0.00000E+00  -0.45412E-07   0.26579E-01   0.16053E+01   0.00000E+00  -0.15120E+02   0.00000E+00   0.78033E+02   0.15042E+02  -0.22186E+03  -0.17724E+02   0.67209E-02   0.58430E-32   0.14455E-15       0.40       0.00     0.0000  0.00  -0.37649E-14  -0.26817E-12     0.0051     0.0095     0.0425     0.2475     1.6053
   2003      1      6   12.00       120.00  -0.17438E+02   0.00000E+00  -0.71325E-07   0.31555E-01   0.16908E+01   0.00000E+00  -0.11774E+02  -0.93321E+01   0.35732E+02   0.84438E+01  -0.17296E+03  -0.17940E+02   0.56538E-02   0.19646E-40  -0.17773E-22       0.60       0.01     0.0000  0.00   0.15000E-20   0.42728E-20     0.0055     0.0111     0.0471     0.2913     1.6908
   2003      1      7   12.00       144.00  -0.19643E+02   0.00000E+00  -0.86492E-07   0.34727E-01   0.17047E+01   0.00000E+00  -0.38807E+01  -0.19643E+02   0.33385E+00   0.69026E-01  -0.12918E+03  -0.18284E+02   0.45133E-02   0.19374E-49  -0.62002E-30       0.85       0.03     0.0000  0.00  -0.67536E-28   0.31676E-26     0.0057     0.0126     0.0512     0.3076     1.7047
   2003      1      8   12.00       168.00  -0.19898E+02   0.00000E+00  -0.90301E-07   0.36982E-01   0.16904E+01   0.00000E+00  -0.24455E+01  -0.19899E+02  -0.74977E+01  -0.17836E+01  -0.11950E+03  -0.18230E+02   0.38816E-02   0.13849E-57   0.35677E-36       0.85       0.06     0.0000  0.00  -0.19486E-34  -0.36084E-33     0.0058     0.0139     0.0549     0.3144     1.6904
   2003      1      9   12.00       192.00  -0.22487E+02   0.00000E+00  -0.91283E-07   0.38923E-01   0.16699E+01   0.00000E+00  -0.20255E+01  -0.22487E+02  -0.17389E+02  -0.27437E+01  -0.10865E+03  -0.17962E+02   0.48459E-02   0.25072E-65  -0.21037E-43       0.85       0.12     0.0000  0.00   0.32038E-41  -0.30438E-40     0.0059     0.0151     0.0581     0.3200     1.6699
   2003      1     10   12.00       216.00  -0.23672E+02   0.00000E+00  -0.91753E-07   0.40680E-01   0.16484E+01   0.00000E+00  -0.20390E+01  -0.23666E+02  -0.25882E+02  -0.23813E+01  -0.10052E+03  -0.17618E+02   0.70932E-02   0.36658E-72  -0.54581E-50       0.85       0.19     0.0000  0.00   0.10427E-48   0.10450E-46     0.0060     0.0162     0.0610     0.3250     1.6484
   2003      1     11   12.00       240.00  -0.22203E+02   0.00000E+00  -0.91995E-07   0.42281E-01   0.16270E+01   0.00000E+00  -0.18592E+01  -0.22203E+02  -0.22311E+02  -0.14853E+01  -0.10499E+03  -0.17275E+02   0.85053E-02   0.53410E-79   0.96259E-57       0.85       0.28     0.0000  0.00  -0.77550E-55  -0.35014E-54     0.0061     0.0172     0.0637     0.3294     1.6270
