 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2022      1      2   12.00        24.00  -0.16484E+02   0.00000E+00  -0.15645E-10   0.21021E+01   0.40169E+01   0.00000E+00  -0.21395E-01  -0.16484E+02  -0.93600E+02   0.19324E+02   0.74276E+02  -0.28001E+01   0.13008E-01   0.57997E-08   0.00000E+00       0.85      10.40     0.0000  0.00   0.53979E-06  -0.94181E-06     0.6928     1.9177     3.1464     3.5782     4.0169
   2022      1      3   12.00        48.00  -0.16868E+02   0.00000E+00  -0.16030E-10   0.19591E+01   0.39566E+01   0.00000E+00  -0.45877E-02  -0.16868E+02  -0.10427E+03   0.23168E+02   0.81104E+02  -0.30067E+01   0.14418E-01   0.16164E-57   0.00000E+00       0.85       9.05     0.0000  0.00  -0.67262E-49  -0.96458E-47     0.6273     1.8126     2.9110     3.3418     3.9566
   2022      1      4   12.00        72.00  -0.16503E+02   0.00000E+00  -0.16023E-10   0.18710E+01   0.39171E+01   0.00000E+00  -0.46359E-02  -0.16503E+02  -0.99803E+02   0.24373E+02   0.75430E+02  -0.29956E+01   0.14307E-01   0.12775E-99   0.00000E+00       0.85       9.12     0.0000  0.00  -0.96049E-89  -0.12687E-86     0.5886     1.7317     2.7560     3.2408     3.9171
   2022      1      5   12.00        96.00  -0.16563E+02   0.00000E+00  -0.16128E-10   0.18033E+01   0.38861E+01   0.00000E+00  -0.47550E-02  -0.16563E+02  -0.86163E+02   0.19766E+02   0.66397E+02  -0.29826E+01   0.12198E-01   0.90160-142   0.00000E+00       0.85       8.70     0.0000  0.00  -0.92139-129  -0.12346-126     0.5608     1.6604     2.6382     3.1769     3.8861
   2022      1      6   12.00       120.00  -0.17560E+02   0.00000E+00  -0.16359E-10   0.17469E+01   0.38596E+01   0.00000E+00  -0.51042E-02  -0.17560E+02  -0.62999E+02   0.10363E+02   0.52636E+02  -0.29712E+01   0.82339E-02   0.00000E+00   0.00000E+00       0.85       8.48     0.0000  0.00  -0.89471-169  -0.11989-166     0.5382     1.5957     2.5431     3.1288     3.8596
   2022      1      7   12.00       144.00  -0.19491E+02   0.00000E+00  -0.16758E-10   0.16986E+01   0.38363E+01   0.00000E+00  -0.56868E-02  -0.19491E+02  -0.43949E+02   0.14156E+01   0.42534E+02  -0.29574E+01   0.60162E-02   0.00000E+00   0.00000E+00       0.85       8.91     0.0000  0.00  -0.86582-209  -0.11602-206     0.5189     1.5371     2.4640     3.0903     3.8363
   2022      1      8   12.00       168.00  -0.20160E+02   0.00000E+00  -0.17336E-10   0.16565E+01   0.38155E+01   0.00000E+00  -0.60956E-02  -0.20160E+02  -0.45447E+02   0.12763E+01   0.44171E+02  -0.29415E+01   0.98974E-02   0.00000E+00   0.00000E+00       0.85       9.49     0.0000  0.00  -0.83335-249  -0.11167-246     0.5018     1.4842     2.3971     3.0583     3.8155
   2022      1      9   12.00       192.00  -0.20600E+02   0.00000E+00  -0.17994E-10   0.16194E+01   0.37964E+01   0.00000E+00  -0.63002E-02  -0.20600E+02  -0.51998E+02   0.63700E+01   0.45628E+02  -0.29252E+01   0.16666E-01   0.00000E+00   0.00000E+00       0.85       9.64     0.0000  0.00  -0.79894-289  -0.10706-286     0.4862     1.4363     2.3395     3.0309     3.7964
   2022      1     10   12.00       216.00  -0.20754E+02   0.00000E+00  -0.18700E-10   0.15863E+01   0.37787E+01   0.00000E+00  -0.64623E-02  -0.20754E+02  -0.41068E+02   0.55504E+01   0.35517E+02  -0.29091E+01   0.13912E-01   0.00000E+00   0.00000E+00       0.85       9.53     0.0000  0.00   0.55335-321   0.32855-319     0.4718     1.3927     2.2894     3.0069     3.7787
   2022      1     11   12.00       240.00  -0.19625E+02   0.00000E+00  -0.19408E-10   0.15564E+01   0.37620E+01   0.00000E+00  -0.63264E-02  -0.19625E+02  -0.10502E+02   0.13076E+01   0.91940E+01  -0.28940E+01   0.93120E-02   0.00000E+00   0.00000E+00       0.85       9.82     0.0000  0.00   0.55335-321   0.32855-319     0.4582     1.3531     2.2453     2.9853     3.7620
