 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - the talik depth, m
 Col. 7 - lake surface methane concentration, mol/m**3
 Col. 8 - lake bottom methane concentration, mol/m**3
 Col. 9 - soil bottom methane concentration, mol/m**3
 Col. 10 - lake surface oxygen concentration, mol/m**3
 Col. 11 - lake bottom oxygen concentration, mol/m**3
 Col. 12 - total methane production due to young C decomposition, mol/(m**2*s)
 Col. 13 - total methane production due to old C decomposition, mol/(m**2*s)
 Col. 14 - methane ebullition flux averaged over the lake bottom, upwards, mol/(m**2*s)
 Col. 15 - methane ebullition flux at the surface, mol/(m**2*s)
 Col. 16 - methane plant-mediated flux at the lake bottom, mol/(m**2*s)
 Col. 17 - methane diffusion flux averaged over the lake bottom, upwards, mol/(m**2*s)
 Col. 18 - methane turbulent flux at the lake surface, upwards, mol/(m**2*s)
 Col. 19 - methane ebullition flux averaged over the lake bottom, upwards, mg/(m**2*day)
 Col. 20 - methane ebullition flux at the surface, mg/(m**2*day)
 Col. 21 - methane plant-mediated flux at the lake bottom, mg/(m**2*day)
 Col. 22 - methane diffusion flux averaged over lake bottom, upwards, mg/(m**2*day)
 Col. 23 - methane turbulent flux at the lake surface, upwards, mg/(m**2*day)
 Col. 24 - methane turbulent flux at the bottom of mixed layer normalized by  surface area, upwards, mg/(m**2*day)
 Col. 25 - methane flux from sediments in the mixed layer normalized by  surface area, upwards, mg/(m**2*day)
 Col. 26 - methane bubble flux at the bottom of the mixed layer normalized by  surface area, upwards, mg/(m**2*day)
 Col. 27 - total methane oxidation in water normalized by  surface area, mg/(m**2*day)
 Col. 28 - methane oxidation in mixed layer normalized by  surface area, mg/(m**2*day)
 Col. 29 - co2 turbulent flux at the lake surface, upwards, mol/(m**2*s)
 Col. 30 - co2 ebullition flux at the surface, mol/(m**2*s)
 Col. 31 - oxygen turbulent flux at the lake surface, upwards, mol/(m**2*s)
 Col. 32 - oxygen ebullition flux at the surface, mol/(m**2*s)
 Col. 33 - methane flux by inlets, normalized by surface area, mol/(m**2*s)
 Col. 34 - methane flux through outlet, normalized by surface area, mol/(m**2*s)
 Col. 35..35+ns-1 - methane ebullition flux at the surface from different soil columns, mg/(m**2*day)
   2022      1      2   12.00        24.00    0.00    0.44298E-01    0.69479E-01    0.77437E-01    0.24122E-12    0.55947E-11    0.46057E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.97667E-08    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.13501E+02    0.00000E+00    0.44155E+00    0.13038E+02    0.00000E+00    0.20586E-04    0.20586E-04    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2022      1      3   12.00        48.00    0.00    0.44904E-01    0.12133E+00    0.77437E-01    0.10000E-19    0.10000E-19    0.45952E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.10432E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.14421E+02    0.00000E+00    0.14326E+01    0.12988E+02    0.00000E+00    0.20978E-04    0.20978E-04    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2022      1      4   12.00        72.00    0.00    0.45622E-01    0.17637E+00    0.77436E-01    0.10000E-19    0.10000E-19    0.45852E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.12617E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.17442E+02    0.00000E+00    0.23500E+01    0.15092E+02    0.00000E+00    0.21249E-04    0.21249E-04    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2022      1      5   12.00        96.00    0.00    0.46446E-01    0.23446E+00    0.77436E-01    0.10000E-19    0.10000E-19    0.45761E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.14713E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.20340E+02    0.00000E+00    0.32396E+01    0.17100E+02    0.00000E+00    0.21229E-04    0.21229E-04    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2022      1      6   12.00       120.00    0.00    0.47385E-01    0.29586E+00    0.77436E-01    0.10000E-19    0.10000E-19    0.45677E-06    0.00000E+00    0.97148E-08    0.86690E-08    0.00000E+00   -0.16721E-07    0.00000E+00    0.13430E+02    0.11984E+02    0.00000E+00   -0.23116E+02    0.00000E+00    0.41091E+01    0.19007E+02    0.13413E+02    0.22372E-04    0.22372E-04    0.00000E+00    0.37915E-16    0.00000E+00    0.70853E-27    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.31880E+02
   2022      1      7   12.00       144.00    0.00    0.48565E-01    0.36063E+00    0.77436E-01    0.10000E-19    0.10000E-19    0.45598E-06    0.00000E+00    0.41360E-07    0.37491E-07    0.00000E+00   -0.18390E-07    0.00000E+00    0.57176E+02    0.51827E+02    0.00000E+00   -0.25422E+02    0.00000E+00    0.49496E+01    0.41842E+02    0.35763E+02    0.23273E-04    0.23273E-04    0.00000E+00    0.64380E-22    0.00000E+00    0.37584E-27    0.00000E+00    0.00000E+00    0.00000E+00    0.21113E+02    0.52173E+02    0.61596E+02    0.85001E+02
   2022      1      8   12.00       168.00    0.00    0.50114E-01    0.42768E+00    0.77436E-01    0.10000E-19    0.10000E-19    0.45523E-06    0.00000E+00    0.11776E-06    0.10696E-06    0.00000E+00   -0.19204E-07    0.00000E+00    0.16279E+03    0.14787E+03    0.00000E+00   -0.26547E+02    0.00000E+00    0.57389E+01    0.63023E+02    0.12044E+03    0.23875E-04    0.23875E-04    0.00000E+00    0.69728E-22    0.00000E+00    0.10720E-26    0.00000E+00    0.00000E+00    0.51095E+02    0.67614E+02    0.71354E+02    0.72958E+02    0.28628E+03
   2022      1      9   12.00       192.00    0.00    0.51980E-01    0.49564E+00    0.77436E-01    0.10000E-19    0.10000E-19    0.45452E-06    0.00000E+00    0.16438E-06    0.15055E-06    0.00000E+00   -0.19657E-07    0.00000E+00    0.22724E+03    0.20812E+03    0.00000E+00   -0.27174E+02    0.00000E+00    0.64593E+01    0.12438E+03    0.12344E+03    0.25275E-04    0.25275E-04    0.00000E+00    0.69828E-22    0.00000E+00    0.15084E-26    0.00000E+00    0.00000E+00    0.69118E+02    0.14310E+03    0.21144E+03    0.22863E+03    0.29345E+03
   2022      1     10   12.00       216.00    0.00    0.54036E-01    0.55633E+00    0.77435E-01    0.10000E-19    0.10000E-19    0.45384E-06    0.00000E+00    0.20684E-06    0.19208E-06    0.00000E+00   -0.19959E-07    0.00000E+00    0.28593E+03    0.26553E+03    0.00000E+00   -0.27591E+02    0.00000E+00    0.69713E+01    0.18160E+03    0.12482E+03    0.26754E-04    0.26754E-04    0.00000E+00    0.69849E-22    0.00000E+00    0.19235E-26    0.00000E+00    0.00000E+00    0.23166E+03    0.24563E+03    0.25528E+03    0.25873E+03    0.29678E+03
   2022      1     11   12.00       240.00    0.00    0.56145E-01    0.58166E+00    0.77435E-01    0.10000E-19    0.10000E-19    0.45318E-06    0.00000E+00    0.21303E-06    0.19768E-06    0.00000E+00   -0.19727E-07    0.00000E+00    0.29449E+03    0.27328E+03    0.00000E+00   -0.27271E+02    0.00000E+00    0.67421E+01    0.18259E+03    0.13229E+03    0.27794E-04    0.27794E-04    0.00000E+00    0.69866E-22    0.00000E+00    0.19795E-26    0.00000E+00    0.00000E+00    0.23442E+03    0.24661E+03    0.25622E+03    0.26019E+03    0.31458E+03
   2022      1     12   12.00       264.00    0.00    0.58271E-01    0.58255E+00    0.77435E-01    0.10000E-19    0.10000E-19    0.45254E-06    0.00000E+00    0.21238E-06    0.19708E-06    0.00000E+00   -0.19206E-07    0.00000E+00    0.29360E+03    0.27244E+03    0.00000E+00   -0.26551E+02    0.00000E+00    0.61018E+01    0.18158E+03    0.13233E+03    0.28929E-04    0.28929E-04    0.00000E+00    0.69883E-22    0.00000E+00    0.19731E-26    0.00000E+00    0.00000E+00    0.23296E+03    0.24486E+03    0.25457E+03    0.25916E+03    0.31472E+03
   2022      1     13   12.00       288.00    0.00    0.60396E-01    0.58320E+00    0.77435E-01    0.10000E-19    0.10000E-19    0.45192E-06    0.00000E+00    0.21235E-06    0.19706E-06    0.00000E+00   -0.18763E-07    0.00000E+00    0.29356E+03    0.27241E+03    0.00000E+00   -0.25937E+02    0.00000E+00    0.55617E+01    0.18137E+03    0.13242E+03    0.30153E-04    0.30153E-04    0.00000E+00    0.69898E-22    0.00000E+00    0.19726E-26    0.00000E+00    0.00000E+00    0.23280E+03    0.24439E+03    0.25413E+03    0.25922E+03    0.31499E+03
   2022      1     14   12.00       312.00    0.00    0.62523E-01    0.58397E+00    0.77435E-01    0.10000E-19    0.10000E-19    0.45132E-06    0.00000E+00    0.21245E-06    0.19715E-06    0.00000E+00   -0.18373E-07    0.00000E+00    0.29369E+03    0.27255E+03    0.00000E+00   -0.25399E+02    0.00000E+00    0.50966E+01    0.18121E+03    0.13264E+03    0.31154E-04    0.31154E-04    0.00000E+00    0.69912E-22    0.00000E+00    0.19732E-26    0.00000E+00    0.00000E+00    0.23273E+03    0.24404E+03    0.25381E+03    0.25935E+03    0.31555E+03
   2022      1     15   12.00       336.00    0.00    0.64652E-01    0.58468E+00    0.77434E-01    0.10000E-19    0.10000E-19    0.45073E-06    0.00000E+00    0.21252E-06    0.19723E-06    0.00000E+00   -0.18024E-07    0.00000E+00    0.29379E+03    0.27265E+03    0.00000E+00   -0.24917E+02    0.00000E+00    0.46847E+01    0.18106E+03    0.13282E+03    0.32178E-04    0.32178E-04    0.00000E+00    0.69925E-22    0.00000E+00    0.19741E-26    0.00000E+00    0.00000E+00    0.23266E+03    0.24369E+03    0.25350E+03    0.25946E+03    0.31602E+03
   2022      1     16   12.00       360.00    0.00    0.66793E-01    0.58578E+00    0.77434E-01    0.10000E-19    0.10000E-19    0.45015E-06    0.00000E+00    0.22663E-06    0.20981E-06    0.00000E+00   -0.17718E-07    0.00000E+00    0.31329E+03    0.29005E+03    0.00000E+00   -0.24493E+02    0.00000E+00    0.43313E+01    0.18019E+03    0.15310E+03    0.33849E-04    0.33849E-04    0.00000E+00    0.69941E-22    0.00000E+00    0.20997E-26    0.00000E+00    0.00000E+00    0.23141E+03    0.24224E+03    0.25213E+03    0.25853E+03    0.36432E+03
   2022      1     17   12.00       384.00    0.00    0.69160E-01    0.58878E+00    0.77434E-01    0.10000E-19    0.10000E-19    0.44958E-06    0.00000E+00    0.26606E-06    0.24510E-06    0.00000E+00   -0.17463E-07    0.00000E+00    0.36780E+03    0.33883E+03    0.00000E+00   -0.24141E+02    0.00000E+00    0.40610E+01    0.18060E+03    0.20706E+03    0.34844E-04    0.34844E-04    0.00000E+00    0.69948E-22    0.00000E+00    0.24528E-26    0.00000E+00    0.00000E+00    0.23227E+03    0.24283E+03    0.25272E+03    0.25942E+03    0.49281E+03
   2022      1     18   12.00       408.00    0.00    0.71615E-01    0.58952E+00    0.77434E-01    0.10000E-19    0.10000E-19    0.44902E-06    0.00000E+00    0.26669E-06    0.24571E-06    0.00000E+00   -0.17205E-07    0.00000E+00    0.36868E+03    0.33967E+03    0.00000E+00   -0.23784E+02    0.00000E+00    0.37767E+01    0.18082E+03    0.20765E+03    0.36180E-04    0.36180E-04    0.00000E+00    0.69959E-22    0.00000E+00    0.24578E-26    0.00000E+00    0.00000E+00    0.23280E+03    0.24313E+03    0.25302E+03    0.26001E+03    0.49429E+03
   2022      1     19   12.00       432.00    0.00    0.74073E-01    0.58996E+00    0.77434E-01    0.10000E-19    0.10000E-19    0.44848E-06    0.00000E+00    0.26637E-06    0.24544E-06    0.00000E+00   -0.16965E-07    0.00000E+00    0.36823E+03    0.33930E+03    0.00000E+00   -0.23452E+02    0.00000E+00    0.35152E+01    0.18057E+03    0.20738E+03    0.37446E-04    0.37446E-04    0.00000E+00    0.69968E-22    0.00000E+00    0.24552E-26    0.00000E+00    0.00000E+00    0.23256E+03    0.24269E+03    0.25262E+03    0.25992E+03    0.49375E+03
   2022      1     20   12.00       456.00    0.00    0.76529E-01    0.59045E+00    0.77434E-01    0.10000E-19    0.10000E-19    0.44794E-06    0.00000E+00    0.26640E-06    0.24549E-06    0.00000E+00   -0.16744E-07    0.00000E+00    0.36827E+03    0.33937E+03    0.00000E+00   -0.23146E+02    0.00000E+00    0.32799E+01    0.18051E+03    0.20740E+03    0.38811E-04    0.38811E-04    0.00000E+00    0.69978E-22    0.00000E+00    0.24558E-26    0.00000E+00    0.00000E+00    0.23262E+03    0.24257E+03    0.25252E+03    0.26010E+03    0.49388E+03
   2022      1     21   12.00       480.00    0.00    0.78991E-01    0.59060E+00    0.77433E-01    0.10000E-19    0.10000E-19    0.44741E-06    0.00000E+00    0.27238E-06    0.25101E-06    0.00000E+00   -0.16537E-07    0.00000E+00    0.37654E+03    0.34699E+03    0.00000E+00   -0.22861E+02    0.00000E+00    0.30652E+01    0.18755E+03    0.20856E+03    0.40588E-04    0.40588E-04    0.00000E+00    0.69986E-22    0.00000E+00    0.25104E-26    0.00000E+00    0.00000E+00    0.23401E+03    0.24374E+03    0.25963E+03    0.28932E+03    0.49673E+03
   2022      1     22   12.00       504.00    0.00    0.81554E-01    0.59046E+00    0.77433E-01    0.10000E-19    0.10000E-19    0.44688E-06    0.00000E+00    0.31136E-06    0.28789E-06    0.00000E+00   -0.16349E-07    0.00000E+00    0.43043E+03    0.39798E+03    0.00000E+00   -0.22601E+02    0.00000E+00    0.28828E+01    0.24286E+03    0.20707E+03    0.41720E-04    0.41720E-04    0.00000E+00    0.69995E-22    0.00000E+00    0.28790E-26    0.00000E+00    0.00000E+00    0.25997E+03    0.32776E+03    0.39469E+03    0.40455E+03    0.49325E+03
