 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - the talik depth, m
 Col. 7 - lake surface methane concentration, mol/m**3
 Col. 8 - lake bottom methane concentration, mol/m**3
 Col. 9 - soil bottom methane concentration, mol/m**3
 Col. 10 - lake surface oxygen concentration, mol/m**3
 Col. 11 - lake bottom oxygen concentration, mol/m**3
 Col. 12 - total methane production due to young C decomposition, mol/(m**2*s)
 Col. 13 - total methane production due to old C decomposition, mol/(m**2*s)
 Col. 14 - methane ebullition flux averaged over the lake bottom, upwards, mol/(m**2*s)
 Col. 15 - methane ebullition flux at the surface, mol/(m**2*s)
 Col. 16 - methane plant-mediated flux at the lake bottom, mol/(m**2*s)
 Col. 17 - methane diffusion flux averaged over the lake bottom, upwards, mol/(m**2*s)
 Col. 18 - methane turbulent flux at the lake surface, upwards, mol/(m**2*s)
 Col. 19 - methane ebullition flux averaged over the lake bottom, upwards, mg/(m**2*day)
 Col. 20 - methane ebullition flux at the surface, mg/(m**2*day)
 Col. 21 - methane plant-mediated flux at the lake bottom, mg/(m**2*day)
 Col. 22 - methane diffusion flux averaged over lake bottom, upwards, mg/(m**2*day)
 Col. 23 - methane turbulent flux at the lake surface, upwards, mg/(m**2*day)
 Col. 24 - methane turbulent flux at the bottom of mixed layer normalized by  surface area, upwards, mg/(m**2*day)
 Col. 25 - methane flux from sediments in the mixed layer normalized by  surface area, upwards, mg/(m**2*day)
 Col. 26 - methane bubble flux at the bottom of the mixed layer normalized by  surface area, upwards, mg/(m**2*day)
 Col. 27 - total methane oxidation in water normalized by  surface area, mg/(m**2*day)
 Col. 28 - methane oxidation in mixed layer normalized by  surface area, mg/(m**2*day)
 Col. 29 - co2 turbulent flux at the lake surface, upwards, mol/(m**2*s)
 Col. 30 - co2 ebullition flux at the surface, mol/(m**2*s)
 Col. 31 - oxygen turbulent flux at the lake surface, upwards, mol/(m**2*s)
 Col. 32 - oxygen ebullition flux at the surface, mol/(m**2*s)
 Col. 33 - methane flux by inlets, normalized by surface area, mol/(m**2*s)
 Col. 34 - methane flux through outlet, normalized by surface area, mol/(m**2*s)
 Col. 35..35+ns-1 - methane ebullition flux at the surface from different soil columns, mg/(m**2*day)
   2022      1      2   12.00        24.00    0.00    0.44300E-01    0.69494E-01    0.77624E-01    0.17504E-12    0.48750E-11    0.46057E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.97862E-08    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.13528E+02    0.00000E+00    0.44138E+00    0.13064E+02    0.00000E+00    0.20760E-04    0.20760E-04    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2022      1      3   12.00        48.00    0.00    0.44906E-01    0.12137E+00    0.77624E-01    0.10000E-19    0.10000E-19    0.45952E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.10436E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.14427E+02    0.00000E+00    0.14333E+01    0.12994E+02    0.00000E+00    0.20841E-04    0.20841E-04    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2022      1      4   12.00        72.00    0.00    0.45624E-01    0.17644E+00    0.77624E-01    0.10000E-19    0.10000E-19    0.45852E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.12622E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.17449E+02    0.00000E+00    0.23510E+01    0.15098E+02    0.00000E+00    0.21411E-04    0.21411E-04    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2022      1      5   12.00        96.00    0.00    0.46449E-01    0.23455E+00    0.77624E-01    0.10000E-19    0.10000E-19    0.45761E-06    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.14718E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00   -0.20346E+02    0.00000E+00    0.32408E+01    0.17106E+02    0.00000E+00    0.21683E-04    0.21683E-04    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
   2022      1      6   12.00       120.00    0.00    0.47388E-01    0.29599E+00    0.77624E-01    0.10000E-19    0.10000E-19    0.45677E-06    0.00000E+00    0.97657E-08    0.87145E-08    0.00000E+00   -0.16726E-07    0.00000E+00    0.13500E+02    0.12047E+02    0.00000E+00   -0.23122E+02    0.00000E+00    0.41105E+01    0.19012E+02    0.13484E+02    0.22071E-04    0.22071E-04    0.00000E+00    0.12664E-16    0.00000E+00    0.21787E-27    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.32047E+02
   2022      1      7   12.00       144.00    0.00    0.48568E-01    0.36078E+00    0.77624E-01    0.10000E-19    0.10000E-19    0.45598E-06    0.00000E+00    0.41481E-07    0.37602E-07    0.00000E+00   -0.18393E-07    0.00000E+00    0.57344E+02    0.51981E+02    0.00000E+00   -0.25426E+02    0.00000E+00    0.49510E+01    0.41927E+02    0.35849E+02    0.23347E-04    0.23347E-04    0.00000E+00    0.64444E-22    0.00000E+00    0.37698E-27    0.00000E+00    0.00000E+00    0.00000E+00    0.21304E+02    0.52359E+02    0.61774E+02    0.85205E+02
   2022      1      8   12.00       168.00    0.00    0.50118E-01    0.42787E+00    0.77623E-01    0.10000E-19    0.10000E-19    0.45523E-06    0.00000E+00    0.11768E-06    0.10689E-06    0.00000E+00   -0.19206E-07    0.00000E+00    0.16268E+03    0.14777E+03    0.00000E+00   -0.26551E+02    0.00000E+00    0.57405E+01    0.62966E+02    0.12039E+03    0.24160E-04    0.24160E-04    0.00000E+00    0.69729E-22    0.00000E+00    0.10712E-26    0.00000E+00    0.00000E+00    0.51126E+02    0.67460E+02    0.71206E+02    0.72819E+02    0.28616E+03
   2022      1      9   12.00       192.00    0.00    0.51985E-01    0.49584E+00    0.77623E-01    0.10000E-19    0.10000E-19    0.45452E-06    0.00000E+00    0.16447E-06    0.15064E-06    0.00000E+00   -0.19661E-07    0.00000E+00    0.22737E+03    0.20825E+03    0.00000E+00   -0.27180E+02    0.00000E+00    0.64605E+01    0.12452E+03    0.12343E+03    0.25129E-04    0.25129E-04    0.00000E+00    0.69828E-22    0.00000E+00    0.15095E-26    0.00000E+00    0.00000E+00    0.69298E+02    0.14333E+03    0.21167E+03    0.22885E+03    0.29343E+03
   2022      1     10   12.00       216.00    0.00    0.54041E-01    0.55655E+00    0.77623E-01    0.10000E-19    0.10000E-19    0.45384E-06    0.00000E+00    0.20731E-06    0.19252E-06    0.00000E+00   -0.19961E-07    0.00000E+00    0.28658E+03    0.26613E+03    0.00000E+00   -0.27594E+02    0.00000E+00    0.69723E+01    0.18200E+03    0.12507E+03    0.26448E-04    0.26448E-04    0.00000E+00    0.69849E-22    0.00000E+00    0.19278E-26    0.00000E+00    0.00000E+00    0.23235E+03    0.24625E+03    0.25587E+03    0.25928E+03    0.29737E+03
   2022      1     11   12.00       240.00    0.00    0.56152E-01    0.58169E+00    0.77623E-01    0.10000E-19    0.10000E-19    0.45318E-06    0.00000E+00    0.21307E-06    0.19772E-06    0.00000E+00   -0.19725E-07    0.00000E+00    0.29454E+03    0.27332E+03    0.00000E+00   -0.27268E+02    0.00000E+00    0.67387E+01    0.18261E+03    0.13232E+03    0.27965E-04    0.27965E-04    0.00000E+00    0.69866E-22    0.00000E+00    0.19795E-26    0.00000E+00    0.00000E+00    0.23445E+03    0.24664E+03    0.25625E+03    0.26022E+03    0.31466E+03
