 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2022      1      2   12.00        24.00  -0.21093E+02   0.00000E+00  -0.86372E-08   0.29236E+01   0.37540E+01   0.00000E+00  -0.35622E-01  -0.21093E+02  -0.61992E+02   0.35939E+01   0.58398E+02  -0.76385E+01   0.14502E-01   0.92595E-09   0.00000E+00       0.85      20.93     0.0000  0.00   0.28201E-05  -0.10857E-04     1.4755     3.6715     3.7089     3.6974     3.7527
   2022      1      3   12.00        48.00  -0.22301E+02   0.00000E+00  -0.89907E-08   0.27497E+01   0.35203E+01   0.00000E+00  -0.94121E-02  -0.22301E+02  -0.66087E+02   0.42873E+01   0.61800E+02  -0.66674E+01   0.16017E-01   0.30181E-30   0.00000E+00       0.85      18.80     0.0000  0.00  -0.71039E-24  -0.84159E-22     1.4230     3.4325     3.4488     3.4481     3.5203
   2022      1      4   12.00        72.00  -0.21485E+02   0.00000E+00  -0.92711E-08   0.26391E+01   0.34309E+01   0.00000E+00  -0.93199E-02  -0.21485E+02  -0.63929E+02   0.65578E+01   0.57371E+02  -0.57436E+01   0.15939E-01   0.84525E-49   0.00000E+00       0.85      19.97     0.0000  0.00  -0.67272E-40  -0.79490E-38     1.3847     3.2824     3.2988     3.3023     3.4309
   2022      1      5   12.00        96.00  -0.21312E+02   0.00000E+00  -0.95455E-08   0.25503E+01   0.34007E+01   0.00000E+00  -0.92432E-02  -0.21312E+02  -0.53664E+02   0.47065E+01   0.48957E+02  -0.51360E+01   0.13379E-01   0.35688E-65   0.00000E+00       0.85      20.40     0.0000  0.00  -0.63271E-56  -0.74762E-54     1.3487     3.1656     3.1850     3.1915     3.4007
   2022      1      6   12.00       120.00  -0.21268E+02   0.00000E+00  -0.98296E-08   0.24736E+01   0.33486E+01   0.00000E+00  -0.94797E-02  -0.21268E+02  -0.42095E+02   0.22417E+01   0.39853E+02  -0.50652E+01   0.92154E-02   0.60682E-82   0.00000E+00       0.85      21.11     0.0000  0.00  -0.59495E-72  -0.70301E-70     1.3135     3.0665     3.0898     3.1025     3.3486
   2022      1      7   12.00       144.00  -0.20220E+02   0.00000E+00  -0.10123E-07   0.24051E+01   0.33293E+01   0.00000E+00  -0.93487E-02  -0.20220E+02  -0.44468E+02   0.15929E+01   0.42875E+02  -0.47542E+01   0.10103E-01   0.33264E-98   0.00000E+00       0.85      22.34     0.0000  0.00  -0.55875E-88  -0.66025E-86     1.2786     2.9800     3.0073     3.0242     3.3293
   2022      1      8   12.00       168.00  -0.19358E+02   0.00000E+00  -0.10400E-07   0.23427E+01   0.33111E+01   0.00000E+00  -0.89565E-02  -0.19358E+02  -0.56420E+02   0.60862E+01   0.50334E+02  -0.45606E+01   0.15602E-01   0.21154-114   0.00000E+00       0.85      21.27     0.0000  0.00  -0.52480-104  -0.62013-102     1.2436     2.9027     2.9347     2.9556     3.3111
   2022      1      9   12.00       192.00  -0.20010E+02   0.00000E+00  -0.10665E-07   0.22854E+01   0.33092E+01   0.00000E+00  -0.89512E-02  -0.20010E+02  -0.58904E+02   0.95121E+01   0.49392E+02  -0.41670E+01   0.18704E-01   0.14225-130   0.00000E+00       0.85      20.00     0.0000  0.00  -0.49336-120  -0.58299-118     1.2090     2.8327     2.8698     2.8932     3.3092
   2022      1     10   12.00       216.00  -0.20544E+02   0.00000E+00  -0.10957E-07   0.22323E+01   0.33183E+01   0.00000E+00  -0.94618E-02  -0.20544E+02  -0.44097E+02   0.66730E+01   0.37424E+02  -0.40177E+01   0.15178E-01   0.24477-147   0.00000E+00       0.85      19.59     0.0000  0.00  -0.46356-136  -0.54779-134     1.1757     2.7683     2.8110     2.8364     3.3183
   2022      1     11   12.00       240.00  -0.18438E+02   0.00000E+00  -0.11269E-07   0.21830E+01   0.33055E+01   0.00000E+00  -0.91721E-02  -0.18438E+02  -0.19682E+02   0.43829E+01   0.15300E+02  -0.41104E+01   0.99733E-02   0.13284-164   0.00000E+00       0.85      17.51     0.0000  0.00  -0.43402-152  -0.51286-150     1.1436     2.7085     2.7570     2.7876     3.3055
   2022      1     12   12.00       264.00  -0.14917E+02   0.00000E+00  -0.11519E-07   0.21367E+01   0.32880E+01   0.00000E+00  -0.78077E-02  -0.14917E+02  -0.24655E+01   0.41716E+01  -0.17061E+01  -0.41028E+01   0.86398E-02   0.00000E+00   0.00000E+00       0.85      15.23     0.0000  0.00  -0.40526-168  -0.47883-166     1.1120     2.6524     2.7072     2.7433     3.2880
   2022      1     13   12.00       288.00  -0.13040E+02   0.00000E+00  -0.11663E-07   0.20926E+01   0.32737E+01   0.00000E+00  -0.64692E-02  -0.13040E+02  -0.73762E-01   0.61910E+01  -0.61173E+01  -0.40230E+01   0.10007E-01   0.00000E+00   0.00000E+00       0.85      16.59     0.0000  0.00  -0.37915-184  -0.44797-182     1.0806     2.5995     2.6611     2.7018     3.2737
   2022      1     14   12.00       312.00  -0.12712E+02   0.00000E+00  -0.11749E-07   0.20509E+01   0.32631E+01   0.00000E+00  -0.60159E-02  -0.12712E+02  -0.24858E+00   0.67130E+01  -0.64644E+01  -0.39483E+01   0.10391E-01   0.00000E+00   0.00000E+00       0.85      19.81     0.0000  0.00  -0.35620-200  -0.42085-198     1.0501     2.5493     2.6182     2.6625     3.2631
   2022      1     15   12.00       336.00  -0.13014E+02   0.00000E+00  -0.11829E-07   0.20113E+01   0.32551E+01   0.00000E+00  -0.59791E-02  -0.13014E+02   0.62067E+01   0.75974E+01  -0.13804E+02  -0.38207E+01   0.10127E-01   0.00000E+00   0.00000E+00       0.85      19.30     0.0000  0.00  -0.33523-216  -0.39609-214     1.0209     2.5014     2.5781     2.6256     3.2551
   2022      1     16   12.00       360.00  -0.14282E+02   0.00000E+00  -0.11930E-07   0.19737E+01   0.32536E+01   0.00000E+00  -0.61666E-02  -0.14282E+02   0.79383E+01   0.73390E+01  -0.15277E+02  -0.37494E+01   0.10211E-01   0.00000E+00   0.00000E+00       0.85      18.96     0.0000  0.00  -0.31579-232  -0.37313-230     0.9933     2.4555     2.5401     2.5906     3.2536
   2022      1     17   12.00       384.00  -0.15758E+02   0.00000E+00  -0.12029E-07   0.19379E+01   0.32430E+01   0.00000E+00  -0.57947E-02  -0.15758E+02   0.47932E+01   0.74476E+01  -0.12241E+02  -0.37761E+01   0.11398E-01   0.00000E+00   0.00000E+00       0.85      20.75     0.0000  0.00  -0.29734-248  -0.35133-246     0.9670     2.4112     2.5041     2.5589     3.2430
   2022      1     18   12.00       408.00  -0.17672E+02   0.00000E+00  -0.12124E-07   0.19038E+01   0.32309E+01   0.00000E+00  -0.60360E-02  -0.17672E+02  -0.45724E+01   0.65866E+01  -0.20142E+01  -0.37606E+01   0.12496E-01   0.00000E+00   0.00000E+00       0.85      24.87     0.0000  0.00  -0.28003-264  -0.33087-262     0.9419     2.3686     2.4699     2.5292     3.2309
   2022      1     19   12.00       432.00  -0.20529E+02   0.00000E+00  -0.12255E-07   0.18713E+01   0.32202E+01   0.00000E+00  -0.64993E-02  -0.20529E+02  -0.22129E+02   0.35644E+01   0.18565E+02  -0.37271E+01   0.12883E-01   0.00000E+00   0.00000E+00       0.85      29.74     0.0000  0.00  -0.26322-280  -0.31100-278     0.9183     2.3276     2.4372     2.5009     3.2202
   2022      1     20   12.00       456.00  -0.21372E+02   0.00000E+00  -0.12445E-07   0.18404E+01   0.32098E+01   0.00000E+00  -0.71227E-02  -0.21367E+02  -0.25505E+02   0.37514E+01   0.21754E+02  -0.36984E+01   0.13814E-01   0.00000E+00   0.00000E+00       0.85      31.27     0.0000  0.00  -0.24683-296  -0.29164-294     0.8962     2.2880     2.4063     2.4739     3.2098
   2022      1     21   12.00       480.00  -0.18758E+02   0.00000E+00  -0.12627E-07   0.18108E+01   0.32008E+01   0.00000E+00  -0.60759E-02  -0.18758E+02  -0.14834E+00   0.32688E+01  -0.31205E+01  -0.36401E+01   0.12417E-01   0.00000E+00   0.00000E+00       0.85      28.17     0.0000  0.00  -0.23101-312  -0.27295-310     0.8750     2.2496     2.3767     2.4480     3.2008
   2022      1     22   12.00       504.00  -0.16566E+02   0.00000E+00  -0.12709E-07   0.17819E+01   0.31942E+01   0.00000E+00  -0.48433E-02  -0.16558E+02   0.77587E+01   0.46273E+01  -0.12386E+02  -0.36004E+01   0.95512E-02   0.00000E+00   0.00000E+00       0.85      25.38     0.0000  0.00   0.69466-320  -0.14002-319     0.8539     2.2123     2.3483     2.4230     3.1942
   2022      1     23   12.00       528.00  -0.17244E+02   0.00000E+00  -0.12704E-07   0.17539E+01   0.31839E+01   0.00000E+00  -0.38931E-02  -0.17240E+02  -0.13717E+02   0.16245E+01   0.12093E+02  -0.36031E+01   0.69464E-02   0.00000E+00   0.00000E+00       0.85      28.25     0.0000  0.00  -0.15118-320   0.37959-319     0.8331     2.1758     2.3209     2.3995     3.1839
   2022      1     24   12.00       552.00  -0.16887E+02   0.00000E+00  -0.12647E-07   0.17267E+01   0.31731E+01   0.00000E+00  -0.34061E-02  -0.16883E+02  -0.28596E+02  -0.78611E+00   0.29382E+02  -0.35893E+01   0.84458E-02   0.00000E+00   0.00000E+00       0.85      29.47     0.0000  0.00   0.11413-320  -0.10758-318     0.8130     2.1402     2.2945     2.3771     3.1731
   2022      1     25   12.00       576.00  -0.16146E+02   0.00000E+00  -0.12566E-07   0.17005E+01   0.31623E+01   0.00000E+00  -0.29948E-02  -0.16143E+02  -0.23263E+02  -0.28036E+01   0.26067E+02  -0.35750E+01   0.94425E-02   0.00000E+00   0.00000E+00       0.85      32.66     0.0000  0.00  -0.12599-320  -0.81832-319     0.7937     2.1055     2.2689     2.3557     3.1623
   2022      1     26   12.00       600.00  -0.20933E+02   0.00000E+00  -0.12462E-07   0.16752E+01   0.31514E+01   0.00000E+00  -0.26979E-02  -0.20933E+02  -0.16617E+02  -0.17682E+01   0.18386E+02  -0.35569E+01   0.55006E-02   0.00000E+00   0.00000E+00       0.85      45.97     0.0000  0.00   0.72134-321  -0.12755-318     0.7752     2.0717     2.2443     2.3350     3.1514
   2022      1     27   12.00       624.00  -0.22489E+02   0.00000E+00  -0.12372E-07   0.16508E+01   0.31413E+01   0.00000E+00  -0.30234E-02  -0.22488E+02  -0.42825E+02   0.21964E+01   0.40628E+02  -0.35319E+01   0.13569E-01   0.00000E+00   0.00000E+00       0.85      60.82     0.0000  0.00  -0.10277-320  -0.10146-318     0.7576     2.0389     2.2204     2.3150     3.1413
   2022      1     28   12.00       648.00  -0.23700E+02   0.00000E+00  -0.12324E-07   0.16273E+01   0.31325E+01   0.00000E+00  -0.33720E-02  -0.23700E+02  -0.51502E+02  -0.39261E+00   0.51895E+02  -0.34986E+01   0.15663E-01   0.00000E+00   0.00000E+00       0.85      62.17     0.0000  0.00   0.22480-320  -0.64372-319     0.7410     2.0071     2.1972     2.2960     3.1325
   2022      1     29   12.00       672.00  -0.23339E+02   0.00000E+00  -0.12320E-07   0.16048E+01   0.31230E+01   0.00000E+00  -0.37636E-02  -0.23338E+02  -0.49626E+02   0.79514E+00   0.48831E+02  -0.34886E+01   0.13841E-01   0.00000E+00   0.00000E+00       0.85      54.68     0.0000  0.00   0.74604-321  -0.35667-319     0.7254     1.9763     2.1745     2.2780     3.1230
   2022      1     30   12.00       696.00  -0.22200E+02   0.00000E+00  -0.12347E-07   0.15830E+01   0.31133E+01   0.00000E+00  -0.39047E-02  -0.22200E+02  -0.49719E+02   0.19187E+01   0.47801E+02  -0.34739E+01   0.12235E-01   0.00000E+00   0.00000E+00       0.85      50.56     0.0000  0.00  -0.13784-320  -0.18705-319     0.7106     1.9464     2.1524     2.2606     3.1133
   2022      1     31   12.00       720.00  -0.18497E+02   0.00000E+00  -0.12382E-07   0.15620E+01   0.31035E+01   0.00000E+00  -0.38394E-02  -0.18496E+02  -0.46466E+02   0.69247E+01   0.39542E+02  -0.34612E+01   0.17054E-01   0.00000E+00   0.00000E+00       0.85      44.88     0.0000  0.00  -0.15810-320  -0.62356-319     0.6964     1.9174     2.1308     2.2440     3.1035
   2022      2      1   12.00       744.00  -0.14692E+02   0.00000E+00  -0.12402E-07   0.15415E+01   0.30935E+01   0.00000E+00  -0.34692E-02  -0.14692E+02  -0.30370E+02   0.12459E+02   0.17911E+02  -0.34470E+01   0.23396E-01   0.00000E+00   0.00000E+00       0.85      37.10     0.0000  0.00   0.15810-320  -0.57909-319     0.6826     1.8891     2.1098     2.2278     3.0935
   2022      2      2   12.00       768.00  -0.13079E+02   0.00000E+00  -0.12388E-07   0.15216E+01   0.30837E+01   0.00000E+00  -0.30206E-02  -0.13079E+02  -0.13797E+02   0.16666E+02  -0.28693E+01  -0.34306E+01   0.26811E-01   0.00000E+00   0.00000E+00       0.85      33.70     0.0000  0.00   0.44466-322  -0.74688-319     0.6692     1.8615     2.0894     2.2120     3.0837
   2022      2      3   12.00       792.00  -0.13196E+02   0.00000E+00  -0.12350E-07   0.15022E+01   0.30741E+01   0.00000E+00  -0.28540E-02  -0.13196E+02  -0.55390E+01   0.16299E+02  -0.10760E+02  -0.34134E+01   0.25508E-01   0.00000E+00   0.00000E+00       0.85      34.47     0.0000  0.00   0.98813-322  -0.42544-319     0.6561     1.8346     2.0693     2.1967     3.0741
   2022      2      4   12.00       816.00  -0.13786E+02   0.00000E+00  -0.12323E-07   0.14834E+01   0.30645E+01   0.00000E+00  -0.30693E-02  -0.13786E+02   0.59960E+01   0.10062E+02  -0.16058E+02  -0.34010E+01   0.19450E-01   0.00000E+00   0.00000E+00       0.85      33.44     0.0000  0.00   0.11116-320  -0.47554-319     0.6436     1.8084     2.0496     2.1822     3.0645
   2022      2      5   12.00       840.00  -0.15786E+02   0.00000E+00  -0.12327E-07   0.14652E+01   0.30549E+01   0.00000E+00  -0.33349E-02  -0.15786E+02   0.63621E+01   0.55547E+01  -0.11917E+02  -0.33888E+01   0.12505E-01   0.00000E+00   0.00000E+00       0.85      38.07     0.0000  0.00   0.15514-320  -0.30691-319     0.6318     1.7830     2.0303     2.1681     3.0549
   2022      2      6   12.00       864.00  -0.20655E+02   0.00000E+00  -0.12363E-07   0.14476E+01   0.30453E+01   0.00000E+00  -0.36786E-02  -0.20653E+02  -0.15593E+02   0.12352E+01   0.14358E+02  -0.33759E+01   0.10159E-01   0.00000E+00   0.00000E+00       0.85      58.77     0.0000  0.00  -0.35079-321  -0.45133-319     0.6205     1.7583     2.0114     2.1546     3.0453
   2022      2      7   12.00       888.00  -0.26197E+02   0.00000E+00  -0.12430E-07   0.14306E+01   0.30359E+01   0.00000E+00  -0.38810E-02  -0.26197E+02  -0.38651E+02  -0.94317E+00   0.39594E+02  -0.33631E+01   0.92280E-02   0.00000E+00   0.00000E+00       0.85      87.80     0.0000  0.00   0.12253-320  -0.47924-320     0.6098     1.7344     1.9929     2.1415     3.0359
   2022      2      8   12.00       912.00  -0.37351E+02   0.00000E+00  -0.12525E-07   0.14141E+01   0.30266E+01   0.00000E+00  -0.45266E-02  -0.37351E+02  -0.13899E+02  -0.52059E+00   0.14420E+02  -0.33489E+01   0.18373E-02   0.00000E+00   0.00000E+00       0.85     102.28     0.0000  0.00   0.10524-320  -0.12045-319     0.5995     1.7111     1.9748     2.1289     3.0266
   2022      2      9   12.00       936.00  -0.27123E+02   0.00000E+00  -0.12757E-07   0.13985E+01   0.30180E+01   0.00000E+00  -0.62376E-02  -0.27123E+02  -0.39699E+02  -0.17009E+01   0.41400E+02  -0.33309E+01   0.75000E-02   0.00000E+00   0.00000E+00       0.85      87.92     0.0000  0.00   0.77568-321  -0.26586-319     0.5903     1.6889     1.9571     2.1168     3.0180
   2022      2     10   12.00       960.00  -0.22562E+02   0.00000E+00  -0.13038E-07   0.13834E+01   0.30095E+01   0.00000E+00  -0.56573E-02  -0.22562E+02  -0.21211E+02   0.69475E+00   0.20516E+02  -0.33167E+01   0.78934E-02   0.00000E+00   0.00000E+00       0.85      58.53     0.0000  0.00   0.59288-321  -0.31655-319     0.5815     1.6673     1.9397     2.1052     3.0095
   2022      2     11   12.00       984.00  -0.17804E+02   0.00000E+00  -0.13239E-07   0.13684E+01   0.30004E+01   0.00000E+00  -0.47944E-02  -0.17804E+02  -0.44240E+00   0.66955E+01  -0.62531E+01  -0.33084E+01   0.15148E-01   0.00000E+00   0.00000E+00       0.85      39.67     0.0000  0.00   0.49407-321  -0.34100-319     0.5725     1.6461     1.9226     2.0938     3.0004
   2022      2     12   12.00      1008.00  -0.16769E+02   0.00000E+00  -0.13344E-07   0.13535E+01   0.29910E+01   0.00000E+00  -0.37638E-02  -0.16769E+02   0.77478E+01   0.58458E+01  -0.13594E+02  -0.33007E+01   0.12706E-01   0.00000E+00   0.00000E+00       0.85      50.07     0.0000  0.00   0.49407-321  -0.38290-319     0.5633     1.6252     1.9058     2.0825     2.9910
   2022      2     13   12.00      1032.00  -0.18050E+02   0.00000E+00  -0.13354E-07   0.13388E+01   0.29812E+01   0.00000E+00  -0.30198E-02  -0.18049E+02  -0.73494E+01   0.61543E+01   0.11951E+01  -0.32931E+01   0.10313E-01   0.00000E+00   0.00000E+00       0.85      69.18     0.0000  0.00   0.41007-321  -0.39051-319     0.5541     1.6046     1.8892     2.0713     2.9812
   2022      2     14   12.00      1056.00  -0.17711E+02   0.00000E+00  -0.13328E-07   0.13244E+01   0.29715E+01   0.00000E+00  -0.28775E-02  -0.17711E+02  -0.13965E+02   0.41884E+01   0.97765E+01  -0.32844E+01   0.11975E-01   0.00000E+00   0.00000E+00       0.85      71.35     0.0000  0.00   0.25691-321  -0.42524-319     0.5450     1.5844     1.8728     2.0604     2.9715
   2022      2     15   12.00      1080.00  -0.15422E+02   0.00000E+00  -0.13302E-07   0.13103E+01   0.29620E+01   0.00000E+00  -0.27464E-02  -0.15422E+02  -0.10620E+02   0.62618E+01   0.43579E+01  -0.32745E+01   0.14373E-01   0.00000E+00   0.00000E+00       0.85      63.84     0.0000  0.00   0.25691-321  -0.42524-319     0.5362     1.5647     1.8568     2.0498     2.9620
   2022      2     16   12.00      1104.00  -0.13688E+02   0.00000E+00  -0.13254E-07   0.12965E+01   0.29524E+01   0.00000E+00  -0.23830E-02  -0.13688E+02  -0.10771E+02   0.11153E+02  -0.38223E+00  -0.32657E+01   0.14653E-01   0.00000E+00   0.00000E+00       0.85      60.80     0.0000  0.00   0.25691-321  -0.42524-319     0.5277     1.5454     1.8410     2.0394     2.9524
   2022      2     17   12.00      1128.00  -0.13090E+02   0.00000E+00  -0.13177E-07   0.12829E+01   0.29427E+01   0.00000E+00  -0.20659E-02  -0.13090E+02  -0.94892E+01   0.47870E+01   0.47022E+01  -0.32575E+01   0.14994E-01   0.00000E+00   0.00000E+00       0.85      61.99     0.0000  0.00   0.25691-321  -0.42524-319     0.5193     1.5264     1.8253     2.0293     2.9427
   2022      2     18   12.00      1152.00  -0.13200E+02   0.00000E+00  -0.13082E-07   0.12696E+01   0.29331E+01   0.00000E+00  -0.18617E-02  -0.13203E+02  -0.11427E+02   0.20400E+01   0.93872E+01  -0.32489E+01   0.14771E-01   0.00000E+00   0.00000E+00       0.85      59.05     0.0000  0.00   0.25691-321  -0.42524-319     0.5111     1.5078     1.8099     2.0195     2.9331
   2022      2     19   12.00      1176.00  -0.12129E+02   0.00000E+00  -0.12974E-07   0.12566E+01   0.29236E+01   0.00000E+00  -0.15856E-02  -0.12129E+02  -0.27354E+02   0.17334E+02   0.10020E+02  -0.32401E+01   0.15171E-01   0.00000E+00   0.00000E+00       0.85      57.86     0.0000  0.00   0.25691-321  -0.42524-319     0.5031     1.4896     1.7947     2.0098     2.9236
   2022      2     20   12.00      1200.00  -0.68956E+01   0.00000E+00  -0.12846E-07   0.12438E+01   0.29140E+01   0.00000E+00  -0.13588E-02  -0.68933E+01  -0.16887E+02   0.61215E+01   0.10766E+02  -0.32313E+01   0.11695E-01   0.00000E+00   0.00000E+00       0.85      57.16     0.0000  0.00   0.25691-321  -0.42524-319     0.4953     1.4717     1.7796     2.0004     2.9140
   2022      2     21   12.00      1224.00  -0.14438E+01   0.00000E+00  -0.12700E-07   0.12313E+01   0.29046E+01   0.00000E+00  -0.80536E-03  -0.14434E+01  -0.80304E+01  -0.54571E+01   0.13488E+02  -0.32226E+01   0.15368E-01   0.00000E+00   0.00000E+00       0.85      57.82     0.0000  0.00   0.25691-321  -0.42524-319     0.4876     1.4542     1.7648     1.9911     2.9046
   2022      2     22   12.00      1248.00   0.56162E-01   0.00000E+00  -0.12479E-07   0.12188E+01   0.28949E+01   0.00000E+00  -0.13348E-05   0.56151E-01  -0.12329E+02  -0.19079E+01   0.14237E+02  -0.32153E+01   0.14744E-01   0.00000E+00   0.00000E+00       0.85      57.61     0.0000  0.00   0.25691-321  -0.42524-319     0.4799     1.4368     1.7501     1.9818     2.8949
   2022      2     23   12.00      1272.00   0.23610E+00   0.00000E+00  -0.12242E-07   0.12065E+01   0.28853E+01   0.00000E+00   0.98524E-05   0.23604E+00  -0.11430E+02   0.32371E+01   0.81932E+01  -0.32066E+01   0.12567E-01   0.00000E+00   0.00000E+00       0.85      51.86     0.0000  0.00   0.25691-321  -0.42524-319     0.4724     1.4197     1.7356     1.9728     2.8853
   2022      2     24   12.00      1296.00   0.68405E+00   0.00000E+00  -0.12019E-07   0.11945E+01   0.28760E+01   0.00000E+00   0.98832E-05   0.68393E+00  -0.18465E+02   0.10685E+02   0.77807E+01  -0.31971E+01   0.16587E-01   0.00000E+00   0.00000E+00       0.85      53.85     0.0000  0.00   0.25691-321  -0.42524-319     0.4651     1.4031     1.7214     1.9639     2.8760
   2022      2     25   12.00      1320.00   0.75134E+00   0.00000E+00  -0.10987E-07   0.11806E+01   0.28630E+01   0.00000E+00   0.98757E-05   0.75116E+00  -0.25494E+02   0.90436E+01   0.16450E+02  -0.32165E+01   0.16901E-01   0.00000E+00   0.00000E+00       0.85      62.93     0.0000  0.00   0.25691-321  -0.42524-319     0.4546     1.3845     1.7066     1.9529     2.8630
   2022      2     26   12.00      1344.00   0.16827E+00   0.00000E+00  -0.95037E-08   0.11656E+01   0.28490E+01   0.00000E+00   0.98681E-05   0.16827E+00  -0.23944E+02   0.17000E+01   0.22244E+02  -0.32229E+01   0.13405E-01   0.00000E+00   0.00000E+00       0.85      71.17     0.0000  0.00   0.25691-321  -0.42524-319     0.4427     1.3647     1.6915     1.9414     2.8490
   2022      2     27   12.00      1368.00  -0.69005E+00   0.00000E+00  -0.84256E-08   0.11518E+01   0.28374E+01   0.00000E+00   0.98584E-05  -0.69005E+00  -0.16368E+02  -0.35005E+01   0.19869E+02  -0.32101E+01   0.10845E-01   0.00000E+00   0.00000E+00       0.85      72.95     0.0000  0.00   0.25691-321  -0.42524-319     0.4330     1.3461     1.6767     1.9314     2.8374
   2022      2     28   12.00      1392.00  -0.32367E+01   0.00000E+00  -0.77695E-08   0.11395E+01   0.28279E+01   0.00000E+00   0.98476E-05  -0.32367E+01  -0.10064E+02  -0.63474E+01   0.16411E+02  -0.31895E+01   0.73487E-02   0.00000E+00   0.00000E+00       0.85      85.94     0.0000  0.00   0.25691-321  -0.42524-319     0.4253     1.3288     1.6625     1.9226     2.8279
   2022      3      1   12.00      1416.00  -0.73083E+01   0.00000E+00  -0.73651E-08   0.11280E+01   0.28193E+01   0.00000E+00   0.98296E-05  -0.73083E+01  -0.16008E+02  -0.31542E+01   0.19162E+02  -0.31714E+01   0.61128E-02   0.00000E+00   0.00000E+00       0.85     107.61     0.0000  0.00   0.25691-321  -0.42524-319     0.4187     1.3126     1.6486     1.9144     2.8193
   2022      3      2   12.00      1440.00  -0.86145E+01   0.00000E+00  -0.70352E-08   0.11168E+01   0.28108E+01   0.00000E+00   0.97986E-05  -0.86145E+01  -0.21361E+02  -0.20633E+01   0.23424E+02  -0.31575E+01   0.67398E-02   0.00000E+00   0.00000E+00       0.85     109.38     0.0000  0.00   0.25691-321  -0.42524-319     0.4125     1.2968     1.6349     1.9062     2.8108
   2022      3      3   12.00      1464.00  -0.53330E+01   0.00000E+00  -0.67784E-08   0.11061E+01   0.28026E+01   0.00000E+00   0.97504E-05  -0.53330E+01  -0.18479E+02  -0.23439E+01   0.20823E+02  -0.31441E+01   0.10868E-01   0.00000E+00   0.00000E+00       0.85      91.85     0.0000  0.00   0.25691-321  -0.42524-319     0.4066     1.2816     1.6215     1.8982     2.8026
   2022      3      4   12.00      1488.00  -0.22101E+01   0.00000E+00  -0.66024E-08   0.10957E+01   0.27946E+01   0.00000E+00   0.96757E-05  -0.22101E+01  -0.86654E+01  -0.22359E+01   0.10901E+02  -0.31309E+01   0.12010E-01   0.00000E+00   0.00000E+00       0.85      81.49     0.0000  0.00   0.25691-321  -0.42524-319     0.4012     1.2669     1.6084     1.8905     2.7946
   2022      3      5   12.00      1512.00  -0.32065E+01   0.00000E+00  -0.64439E-08   0.10856E+01   0.27866E+01   0.00000E+00   0.94999E-05  -0.32065E+01  -0.49659E+01  -0.76564E+01   0.12622E+02  -0.31200E+01   0.12210E-01   0.00000E+00   0.00000E+00       0.85      86.73     0.0000  0.00   0.25691-321  -0.42524-319     0.3959     1.2525     1.5955     1.8827     2.7866
   2022      3      6   12.00      1536.00  -0.72549E+01   0.00000E+00  -0.62902E-08   0.10757E+01   0.27786E+01   0.00000E+00   0.87044E-05  -0.72523E+01  -0.15734E+02  -0.39650E+01   0.19699E+02  -0.31099E+01   0.71467E-02   0.00000E+00   0.00000E+00       0.85      89.75     0.0000  0.00   0.25691-321  -0.42524-319     0.3906     1.2385     1.5827     1.8750     2.7786
