 Col. 1 - year
 Col. 2 - month
 Col. 3 - day
 Col. 4 - hour
 Col. 5 - the time from the start of integration, hours
 Col. 6 - surface temperature, C
 Col. 7 - water skin temperature, C
 Col. 8 - water surface temperature, C
 Col. 9 - mean temperature of water coloumn, C
 Col. 10 - maximal temperature in the water coloumn, C
 Col. 11 - zero-dimensional model temperature, C
 Col. 12 - upper ice surface temperature, C
 Col. 13 - upper snow surface temperature, C
 Col. 14 - sensible heat flux,    W/m**2
 Col. 15 - latent heat flux,      W/m**2
 Col. 16 - downward heat flux at the upper lake surface, W/m**2
 Col. 17 - downward heat flux at the lake bottom, W/m**2
 Col. 18 - friction velocity at the surface (waterside), m/s
 Col. 19 - friction velocity at the bottom, m/s
 Col. 20 - wind work at the water surface, W/m**2
 Col. 21 - albedo of the lake-atmosphere interface, n/d
 Col. 22 - shortwave radiation penetrated below surface, W/m**2
 Col. 23 - significant wave height, m
 Col. 24 - bottom ice salinity, kg/kg
 Col. 25 - discharge in x direction, m**3/s
 Col. 26 - discharge in y direction, m**3/s
 Cols. 27... - top soil columns temperature, m
   2000     10      2   12.00        24.00   0.41518E+01   0.00000E+00   0.41518E+01   0.41052E+01   0.41518E+01   0.00000E+00   0.00000E+00   0.00000E+00  -0.55089E+01  -0.24097E+01  -0.21792E+02   0.17507E+02   0.35052E-02   0.12238E-07   0.87707E-03       0.09      78.70     0.0000  0.00   0.16765E+00  -0.29607E+00     4.1404     4.1101     4.0793     4.0265     3.8802
   2000     10      3   12.00        48.00   0.43426E+01   0.00000E+00   0.43426E+01   0.42948E+01   0.43443E+01   0.00000E+00   0.00000E+00   0.00000E+00  -0.29842E+01  -0.44794E+00  -0.29939E+02   0.11654E+02   0.35069E-02   0.66313E-11   0.80175E-03       0.09      80.61     0.0000  0.00   0.16799E+00  -0.48092E+00     4.3413     4.3222     4.2980     4.0386     3.8332
   2000     10      4   12.00        72.00   0.44795E+01   0.00000E+00   0.44795E+01   0.44341E+01   0.44862E+01   0.00000E+00   0.00000E+00   0.00000E+00  -0.26126E+00   0.21067E+01  -0.38916E+02   0.90983E+01   0.37192E-02   0.72520E-12   0.65167E-03       0.09      80.81     0.0000  0.00   0.17972E+00  -0.81410E+00     4.4845     4.4759     4.4575     4.0746     3.8438
   2000     10      5   12.00        96.00   0.45087E+01   0.00000E+00   0.45087E+01   0.44860E+01   0.45262E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.23219E+01   0.41546E+01  -0.45245E+02   0.83878E+01   0.38151E-02   0.14684E-11   0.74523E-03       0.09      77.62     0.0000  0.00   0.19232E+00  -0.72776E+00     4.5226     4.5229     4.5119     4.1619     3.8536
   2000     10      6   12.00       120.00   0.44651E+01   0.00000E+00   0.44651E+01   0.44718E+01   0.44993E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.40718E+01   0.55456E+01  -0.49535E+02   0.71622E+01   0.35654E-02   0.28485E-11   0.76832E-03       0.09      76.72     0.0000  0.00   0.17501E+00  -0.34234E-01     4.4931     4.4977     4.4901     4.2443     3.8611
   2000     10      7   12.00       144.00   0.43898E+01   0.00000E+00   0.43898E+01   0.44122E+01   0.44330E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.59900E+01   0.70226E+01  -0.54801E+02   0.55486E+01   0.33684E-02   0.76290E-12   0.55259E-03       0.09      76.99     0.0000  0.00   0.14989E+00  -0.28449E+00     4.4193     4.4325     4.4283     4.2625     3.8615
   2000     10      8   12.00       168.00   0.42412E+01   0.00000E+00   0.42412E+01   0.42826E+01   0.42910E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.91861E+01   0.10221E+02  -0.63176E+02   0.13346E+02   0.36877E-02   0.17970E-06   0.66588E-03       0.10      76.22     0.0000  0.00   0.18006E+00  -0.55226E+00     4.2714     4.2901     4.2902     4.2814     4.1932
   2000     10      9   12.00       192.00   0.40179E+01   0.00000E+00   0.40179E+01   0.40732E+01   0.40878E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.11621E+02   0.12061E+02  -0.69750E+02   0.48738E+01   0.36766E-02   0.28543E-06   0.96108E-03       0.10      74.75     0.0000  0.00   0.18417E+00  -0.45191E+00     4.0541     4.0818     4.0871     4.0864     4.0644
   2000     10     10   12.00       216.00   0.37471E+01   0.00000E+00   0.37471E+01   0.38118E+01   0.38329E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.12677E+02   0.13221E+02  -0.74058E+02   0.24061E+01   0.35459E-02   0.21332E-06   0.64223E-03       0.10      74.23     0.0000  0.00   0.17094E+00  -0.33474E+00     3.7866     3.8217     3.8300     3.8327     3.8220
   2000     10     11   12.00       240.00   0.34441E+01   0.00000E+00   0.34441E+01   0.35314E+01   0.36209E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.12869E+02   0.13050E+02  -0.74471E+02   0.12693E+01   0.34102E-02   0.22264E-12   0.58537E-03       0.10      73.09     0.0000  0.00   0.16022E+00  -0.10297E-01     3.4967     3.5370     3.5535     3.5943     3.5998
   2000     10     12   12.00       264.00   0.31053E+01   0.00000E+00   0.31053E+01   0.32714E+01   0.35135E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.10126E+02   0.98793E+01  -0.67502E+02   0.20322E+01   0.26661E-02   0.10205E-13   0.21161E-03       0.10      69.44     0.0000  0.00   0.99066E-01   0.33018E-01     3.1550     3.2134     3.4146     3.5124     3.4956
   2000     10     13   12.00       288.00   0.25859E+01   0.00000E+00   0.25859E+01   0.30579E+01   0.34856E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.77401E+01   0.72966E+01  -0.60623E+02   0.24897E+01   0.22064E-02   0.20847E-15   0.11067E-03       0.10      65.58     0.0000  0.00   0.64622E-01   0.12055E+00     2.6397     3.1553     3.4666     3.4840     3.4665
   2000     10     14   12.00       312.00   0.20940E+01   0.00000E+00   0.20940E+01   0.28584E+01   0.34905E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.86650E+01   0.84173E+01  -0.60539E+02   0.30074E+01   0.27790E-02   0.13602E-10   0.29365E-03       0.10      62.51     0.0000  0.00   0.99884E-01   0.99266E+00     2.1457     3.1484     3.4900     3.4883     3.4702
   2000     10     15   12.00       336.00   0.17211E+01   0.00000E+00   0.17211E+01   0.26617E+01   0.35098E+01   0.00000E+00   0.00000E+00   0.00000E+00   0.71786E+01   0.70586E+01  -0.54681E+02   0.31842E+01   0.27369E-02   0.27535E-10   0.28196E-03       0.10      59.09     0.0000  0.00   0.95244E-01   0.11367E+01     1.7667     2.9948     3.5094     3.5076     3.4886
